t_seconds,iso_time,node,private_mb
0.000,2025-12-16T02:29:36,0,1.7
0.000,2025-12-16T02:29:36,1,889.2
1.009,2025-12-16T02:29:37,0,1.7
1.009,2025-12-16T02:29:37,1,2597.42
2.030,2025-12-16T02:29:38,0,1.7
2.030,2025-12-16T02:29:38,1,4314.23
3.057,2025-12-16T02:29:39,0,1.7
3.057,2025-12-16T02:29:39,1,6051.86
4.097,2025-12-16T02:29:40,0,1.7
4.097,2025-12-16T02:29:40,1,7796.6
5.142,2025-12-16T02:29:42,0,1.7
5.142,2025-12-16T02:29:42,1,9562.43
6.201,2025-12-16T02:29:43,0,1.7
6.201,2025-12-16T02:29:43,1,11344.85
7.271,2025-12-16T02:29:44,0,1.7
7.271,2025-12-16T02:29:44,1,13139.3
8.350,2025-12-16T02:29:45,0,1.7
8.350,2025-12-16T02:29:45,1,14948.84
9.439,2025-12-16T02:29:46,0,1.7
9.439,2025-12-16T02:29:46,1,16774.44
10.538,2025-12-16T02:29:47,0,1.7
10.538,2025-12-16T02:29:47,1,18615.08
11.647,2025-12-16T02:29:48,0,1.7
11.647,2025-12-16T02:29:48,1,20477.36
12.767,2025-12-16T02:29:49,0,1.7
12.767,2025-12-16T02:29:49,1,22366.71
13.897,2025-12-16T02:29:50,0,1.7
13.897,2025-12-16T02:29:50,1,24262.68
15.032,2025-12-16T02:29:52,0,1.7
15.032,2025-12-16T02:29:52,1,26177.48
16.184,2025-12-16T02:29:53,0,1.7
16.184,2025-12-16T02:29:53,1,28119.53
17.346,2025-12-16T02:29:54,0,1.7
17.346,2025-12-16T02:29:54,1,30073.76
18.516,2025-12-16T02:29:55,0,1.7
18.516,2025-12-16T02:29:55,1,31997.64
19.673,2025-12-16T02:29:56,0,1.7
19.673,2025-12-16T02:29:56,1,33936.23
20.840,2025-12-16T02:29:57,0,1.7
20.840,2025-12-16T02:29:57,1,35890.2
22.016,2025-12-16T02:29:59,0,1.7
22.016,2025-12-16T02:29:59,1,37901.44
23.227,2025-12-16T02:30:00,0,1.7
23.227,2025-12-16T02:30:00,1,39917.02
24.441,2025-12-16T02:30:01,0,1.7
24.441,2025-12-16T02:30:01,1,41955.14
25.668,2025-12-16T02:30:02,0,1.7
25.668,2025-12-16T02:30:02,1,43972.15
26.882,2025-12-16T02:30:03,0,1.7
26.882,2025-12-16T02:30:03,1,46042.99
28.128,2025-12-16T02:30:05,0,1.7
28.128,2025-12-16T02:30:05,1,48134.55
29.385,2025-12-16T02:30:06,0,1.76
29.385,2025-12-16T02:30:06,1,49152.0
30.620,2025-12-16T02:30:07,0,1.76
30.620,2025-12-16T02:30:07,1,49152.0
31.881,2025-12-16T02:30:08,0,1.76
31.881,2025-12-16T02:30:08,1,49152.0
33.091,2025-12-16T02:30:10,0,1.76
33.091,2025-12-16T02:30:10,1,49152.0
34.348,2025-12-16T02:30:11,0,1.76
34.348,2025-12-16T02:30:11,1,49152.0
35.614,2025-12-16T02:30:12,0,1.76
35.614,2025-12-16T02:30:12,1,49152.0
36.856,2025-12-16T02:30:13,0,1.76
36.856,2025-12-16T02:30:13,1,49152.0
38.118,2025-12-16T02:30:15,0,1.76
38.118,2025-12-16T02:30:15,1,49152.0
39.379,2025-12-16T02:30:16,0,1.76
39.379,2025-12-16T02:30:16,1,49152.0
40.614,2025-12-16T02:30:17,0,1.76
40.614,2025-12-16T02:30:17,1,49152.0
41.872,2025-12-16T02:30:18,0,1.76
41.872,2025-12-16T02:30:18,1,49152.0
43.102,2025-12-16T02:30:20,0,1.76
43.102,2025-12-16T02:30:20,1,49152.0
44.339,2025-12-16T02:30:21,0,1.76
44.339,2025-12-16T02:30:21,1,49152.0
45.576,2025-12-16T02:30:22,0,1.76
45.576,2025-12-16T02:30:22,1,49152.0
46.800,2025-12-16T02:30:23,0,1.76
46.800,2025-12-16T02:30:23,1,49152.0
48.068,2025-12-16T02:30:25,0,1.76
48.068,2025-12-16T02:30:25,1,49152.0
49.288,2025-12-16T02:30:26,0,1.76
49.288,2025-12-16T02:30:26,1,49152.0
50.535,2025-12-16T02:30:27,0,1.76
50.535,2025-12-16T02:30:27,1,49152.0
51.771,2025-12-16T02:30:28,0,1.76
51.771,2025-12-16T02:30:28,1,49152.0
53.009,2025-12-16T02:30:30,0,1.76
53.009,2025-12-16T02:30:30,1,49152.0
54.248,2025-12-16T02:30:31,0,1.76
54.248,2025-12-16T02:30:31,1,49152.0
55.485,2025-12-16T02:30:32,0,1.76
55.485,2025-12-16T02:30:32,1,49152.0
56.723,2025-12-16T02:30:33,0,1.76
56.723,2025-12-16T02:30:33,1,49152.0
57.964,2025-12-16T02:30:34,0,1.76
57.964,2025-12-16T02:30:34,1,49152.0
59.171,2025-12-16T02:30:36,0,1.76
59.171,2025-12-16T02:30:36,1,49152.0
60.394,2025-12-16T02:30:37,0,1.76
60.394,2025-12-16T02:30:37,1,49152.0
61.651,2025-12-16T02:30:38,0,1.76
61.651,2025-12-16T02:30:38,1,49152.0
62.882,2025-12-16T02:30:39,0,1.76
62.882,2025-12-16T02:30:39,1,49152.0
64.133,2025-12-16T02:30:41,0,1.76
64.133,2025-12-16T02:30:41,1,49152.0
65.403,2025-12-16T02:30:42,0,1.76
65.403,2025-12-16T02:30:42,1,49152.0
66.659,2025-12-16T02:30:43,0,1.76
66.659,2025-12-16T02:30:43,1,49152.0
67.917,2025-12-16T02:30:44,0,1.76
67.917,2025-12-16T02:30:44,1,49152.0
69.158,2025-12-16T02:30:46,0,1.76
69.158,2025-12-16T02:30:46,1,49152.0
70.424,2025-12-16T02:30:47,0,1.76
70.424,2025-12-16T02:30:47,1,49152.0
71.669,2025-12-16T02:30:48,0,1.76
71.669,2025-12-16T02:30:48,1,49152.0
72.914,2025-12-16T02:30:49,0,1.76
72.914,2025-12-16T02:30:49,1,49152.0
74.156,2025-12-16T02:30:51,0,1.76
74.156,2025-12-16T02:30:51,1,49152.0
75.397,2025-12-16T02:30:52,0,1.76
75.397,2025-12-16T02:30:52,1,49152.0
76.634,2025-12-16T02:30:53,0,1.76
76.634,2025-12-16T02:30:53,1,49152.0
77.859,2025-12-16T02:30:54,0,1.76
77.859,2025-12-16T02:30:54,1,49152.0
79.079,2025-12-16T02:30:56,0,1.76
79.079,2025-12-16T02:30:56,1,49152.0
80.337,2025-12-16T02:30:57,0,1.76
80.337,2025-12-16T02:30:57,1,49152.0
81.608,2025-12-16T02:30:58,0,1.76
81.608,2025-12-16T02:30:58,1,49152.0
82.879,2025-12-16T02:30:59,0,1.76
82.879,2025-12-16T02:30:59,1,49152.0
84.122,2025-12-16T02:31:01,0,1.76
84.122,2025-12-16T02:31:01,1,49152.0
85.391,2025-12-16T02:31:02,0,1.76
85.391,2025-12-16T02:31:02,1,49152.0
86.658,2025-12-16T02:31:03,0,1.76
86.658,2025-12-16T02:31:03,1,49152.0
87.912,2025-12-16T02:31:04,0,1.76
87.912,2025-12-16T02:31:04,1,49152.0
89.156,2025-12-16T02:31:06,0,1.76
89.156,2025-12-16T02:31:06,1,49152.0
90.385,2025-12-16T02:31:07,0,1.76
90.385,2025-12-16T02:31:07,1,49152.0
91.654,2025-12-16T02:31:08,0,1.76
91.654,2025-12-16T02:31:08,1,49152.0
92.910,2025-12-16T02:31:09,0,1.76
92.910,2025-12-16T02:31:09,1,49152.0
94.165,2025-12-16T02:31:11,0,1.76
94.165,2025-12-16T02:31:11,1,49152.0
95.400,2025-12-16T02:31:12,0,1.76
95.400,2025-12-16T02:31:12,1,49152.0
96.670,2025-12-16T02:31:13,0,1.76
96.670,2025-12-16T02:31:13,1,49152.0
97.939,2025-12-16T02:31:14,0,1.76
97.939,2025-12-16T02:31:14,1,49152.0
99.168,2025-12-16T02:31:16,0,1.76
99.168,2025-12-16T02:31:16,1,49152.0
100.427,2025-12-16T02:31:17,0,1.76
100.427,2025-12-16T02:31:17,1,49152.0
101.696,2025-12-16T02:31:18,0,1.76
101.696,2025-12-16T02:31:18,1,49152.0
102.940,2025-12-16T02:31:20,0,1.76
102.940,2025-12-16T02:31:20,1,49152.0
104.181,2025-12-16T02:31:21,0,1.76
104.181,2025-12-16T02:31:21,1,49152.0
105.439,2025-12-16T02:31:22,0,1.76
105.439,2025-12-16T02:31:22,1,49152.0
106.708,2025-12-16T02:31:23,0,1.76
106.708,2025-12-16T02:31:23,1,49152.0
107.977,2025-12-16T02:31:25,0,1.76
107.977,2025-12-16T02:31:25,1,49152.0
109.212,2025-12-16T02:31:26,0,1.76
109.212,2025-12-16T02:31:26,1,49152.0
110.470,2025-12-16T02:31:27,0,1.76
110.470,2025-12-16T02:31:27,1,49152.0
111.695,2025-12-16T02:31:28,0,1.76
111.695,2025-12-16T02:31:28,1,49152.0
112.954,2025-12-16T02:31:30,0,1.76
112.954,2025-12-16T02:31:30,1,49152.0
114.176,2025-12-16T02:31:31,0,1.76
114.176,2025-12-16T02:31:31,1,49152.0
115.422,2025-12-16T02:31:32,0,1.76
115.422,2025-12-16T02:31:32,1,49152.0
116.677,2025-12-16T02:31:33,0,1.76
116.677,2025-12-16T02:31:33,1,49152.0
117.932,2025-12-16T02:31:34,0,1.76
117.932,2025-12-16T02:31:34,1,49152.0
119.172,2025-12-16T02:31:36,0,1.76
119.172,2025-12-16T02:31:36,1,49152.0
120.428,2025-12-16T02:31:37,0,1.76
120.428,2025-12-16T02:31:37,1,49152.0
121.697,2025-12-16T02:31:38,0,1.76
121.697,2025-12-16T02:31:38,1,49152.0
122.932,2025-12-16T02:31:40,0,1.76
122.932,2025-12-16T02:31:40,1,49152.0
124.184,2025-12-16T02:31:41,0,1.76
124.184,2025-12-16T02:31:41,1,49152.0
125.452,2025-12-16T02:31:42,0,1.76
125.452,2025-12-16T02:31:42,1,49152.0
126.654,2025-12-16T02:31:43,0,1.76
126.654,2025-12-16T02:31:43,1,49152.0
127.854,2025-12-16T02:31:44,0,1.76
127.854,2025-12-16T02:31:44,1,49152.0
129.078,2025-12-16T02:31:46,0,1.76
129.078,2025-12-16T02:31:46,1,49152.0
130.279,2025-12-16T02:31:47,0,1.76
130.279,2025-12-16T02:31:47,1,49152.0
131.504,2025-12-16T02:31:48,0,1.76
131.504,2025-12-16T02:31:48,1,49152.0
132.701,2025-12-16T02:31:49,0,1.76
132.701,2025-12-16T02:31:49,1,49152.0
133.928,2025-12-16T02:31:50,0,1.76
133.928,2025-12-16T02:31:50,1,49152.0
135.156,2025-12-16T02:31:52,0,1.76
135.156,2025-12-16T02:31:52,1,49152.0
136.385,2025-12-16T02:31:53,0,1.76
136.385,2025-12-16T02:31:53,1,49152.0
137.612,2025-12-16T02:31:54,0,1.76
137.612,2025-12-16T02:31:54,1,49152.0
138.841,2025-12-16T02:31:55,0,1.76
138.841,2025-12-16T02:31:55,1,49152.0
140.069,2025-12-16T02:31:57,0,1.76
140.069,2025-12-16T02:31:57,1,49152.0
141.297,2025-12-16T02:31:58,0,1.76
141.297,2025-12-16T02:31:58,1,49152.0
142.494,2025-12-16T02:31:59,0,1.76
142.494,2025-12-16T02:31:59,1,49152.0
143.720,2025-12-16T02:32:00,0,1.76
143.720,2025-12-16T02:32:00,1,49152.0
144.950,2025-12-16T02:32:01,0,1.76
144.950,2025-12-16T02:32:01,1,49152.0
146.149,2025-12-16T02:32:03,0,1.76
146.149,2025-12-16T02:32:03,1,49152.0
147.415,2025-12-16T02:32:04,0,1.76
147.415,2025-12-16T02:32:04,1,49152.0
148.646,2025-12-16T02:32:05,0,1.76
148.646,2025-12-16T02:32:05,1,49152.0
149.876,2025-12-16T02:32:06,0,1.76
149.876,2025-12-16T02:32:06,1,49152.0
151.107,2025-12-16T02:32:08,0,1.76
151.107,2025-12-16T02:32:08,1,49152.0
152.332,2025-12-16T02:32:09,0,1.76
152.332,2025-12-16T02:32:09,1,49152.0
153.563,2025-12-16T02:32:10,0,1.76
153.563,2025-12-16T02:32:10,1,49152.0
154.763,2025-12-16T02:32:11,0,1.76
154.763,2025-12-16T02:32:11,1,49152.0
155.987,2025-12-16T02:32:13,0,1.76
155.987,2025-12-16T02:32:13,1,49152.0
157.212,2025-12-16T02:32:14,0,1.76
157.212,2025-12-16T02:32:14,1,49152.0
158.441,2025-12-16T02:32:15,0,1.76
158.441,2025-12-16T02:32:15,1,49152.0
159.669,2025-12-16T02:32:16,0,1.76
159.669,2025-12-16T02:32:16,1,49152.0
160.874,2025-12-16T02:32:17,0,1.76
160.874,2025-12-16T02:32:17,1,49152.0
162.099,2025-12-16T02:32:19,0,1.76
162.099,2025-12-16T02:32:19,1,49152.0
163.323,2025-12-16T02:32:20,0,1.76
163.323,2025-12-16T02:32:20,1,49152.0
164.546,2025-12-16T02:32:21,0,1.76
164.546,2025-12-16T02:32:21,1,49152.0
165.773,2025-12-16T02:32:22,0,1.76
165.773,2025-12-16T02:32:22,1,49152.0
166.987,2025-12-16T02:32:24,0,1.76
166.987,2025-12-16T02:32:24,1,49152.0
168.226,2025-12-16T02:32:25,0,1.76
168.226,2025-12-16T02:32:25,1,49152.0
169.426,2025-12-16T02:32:26,0,1.76
169.426,2025-12-16T02:32:26,1,49152.0
170.634,2025-12-16T02:32:27,0,1.76
170.634,2025-12-16T02:32:27,1,49152.0
171.881,2025-12-16T02:32:28,0,1.76
171.881,2025-12-16T02:32:28,1,49152.0
173.115,2025-12-16T02:32:30,0,1.76
173.115,2025-12-16T02:32:30,1,49152.0
174.379,2025-12-16T02:32:31,0,1.76
174.379,2025-12-16T02:32:31,1,49152.0
175.581,2025-12-16T02:32:32,0,1.76
175.581,2025-12-16T02:32:32,1,49152.0
176.788,2025-12-16T02:32:33,0,1.76
176.788,2025-12-16T02:32:33,1,49152.0
178.017,2025-12-16T02:32:35,0,1.76
178.017,2025-12-16T02:32:35,1,49152.0
179.248,2025-12-16T02:32:36,0,1.76
179.248,2025-12-16T02:32:36,1,49152.0
