t_seconds,iso_time,node,private_mb
0.000,2025-12-16T22:17:46,0,1.77
0.000,2025-12-16T22:17:46,1,600.68
1.009,2025-12-16T22:17:47,0,1.77
1.009,2025-12-16T22:17:47,1,1758.87
2.025,2025-12-16T22:17:48,0,1.77
2.025,2025-12-16T22:17:48,1,2925.83
3.047,2025-12-16T22:17:49,0,1.77
3.047,2025-12-16T22:17:49,1,4100.78
4.077,2025-12-16T22:17:50,0,1.77
4.077,2025-12-16T22:17:50,1,5281.46
5.112,2025-12-16T22:17:51,0,1.77
5.112,2025-12-16T22:17:51,1,6465.14
6.151,2025-12-16T22:17:52,0,1.77
6.151,2025-12-16T22:17:52,1,7657.06
7.200,2025-12-16T22:17:53,0,1.77
7.200,2025-12-16T22:17:53,1,8857.48
8.252,2025-12-16T22:17:54,0,1.77
8.252,2025-12-16T22:17:54,1,10068.1
9.314,2025-12-16T22:17:55,0,1.77
9.314,2025-12-16T22:17:55,1,11287.15
10.384,2025-12-16T22:17:56,0,1.77
10.384,2025-12-16T22:17:56,1,12514.54
11.459,2025-12-16T22:17:57,0,1.77
11.459,2025-12-16T22:17:57,1,13748.47
12.541,2025-12-16T22:17:58,0,1.77
12.541,2025-12-16T22:17:58,1,14989.56
13.630,2025-12-16T22:17:59,0,1.77
13.630,2025-12-16T22:17:59,1,16239.05
14.727,2025-12-16T22:18:00,0,1.77
14.727,2025-12-16T22:18:00,1,17496.5
15.830,2025-12-16T22:18:01,0,1.77
15.830,2025-12-16T22:18:01,1,18760.38
16.939,2025-12-16T22:18:03,0,1.77
16.939,2025-12-16T22:18:03,1,20023.88
18.056,2025-12-16T22:18:04,0,1.77
18.056,2025-12-16T22:18:04,1,21302.76
19.180,2025-12-16T22:18:05,0,1.77
19.180,2025-12-16T22:18:05,1,22590.05
20.310,2025-12-16T22:18:06,0,1.77
20.310,2025-12-16T22:18:06,1,23881.23
21.445,2025-12-16T22:18:07,0,1.77
21.445,2025-12-16T22:18:07,1,25184.0
22.590,2025-12-16T22:18:08,0,1.77
22.590,2025-12-16T22:18:08,1,26484.95
23.741,2025-12-16T22:18:09,0,1.77
23.741,2025-12-16T22:18:09,1,27784.94
24.891,2025-12-16T22:18:11,0,1.77
24.891,2025-12-16T22:18:11,1,29078.28
26.034,2025-12-16T22:18:12,0,1.77
26.034,2025-12-16T22:18:12,1,30404.57
27.208,2025-12-16T22:18:13,0,1.77
27.208,2025-12-16T22:18:13,1,31733.01
28.383,2025-12-16T22:18:14,0,1.77
28.383,2025-12-16T22:18:14,1,33045.3
29.545,2025-12-16T22:18:15,0,1.77
29.545,2025-12-16T22:18:15,1,34344.19
30.692,2025-12-16T22:18:16,0,1.77
30.692,2025-12-16T22:18:16,1,35669.32
31.865,2025-12-16T22:18:18,0,1.77
31.865,2025-12-16T22:18:18,1,37021.79
33.064,2025-12-16T22:18:19,0,1.77
33.064,2025-12-16T22:18:19,1,38345.61
34.236,2025-12-16T22:18:20,0,1.77
34.236,2025-12-16T22:18:20,1,39690.28
35.428,2025-12-16T22:18:21,0,1.77
35.428,2025-12-16T22:18:21,1,41039.54
36.624,2025-12-16T22:18:22,0,1.77
36.624,2025-12-16T22:18:22,1,42397.22
37.828,2025-12-16T22:18:24,0,1.77
37.828,2025-12-16T22:18:24,1,43763.28
39.039,2025-12-16T22:18:25,0,1.77
39.039,2025-12-16T22:18:25,1,45134.99
40.256,2025-12-16T22:18:26,0,1.77
40.256,2025-12-16T22:18:26,1,46489.95
41.458,2025-12-16T22:18:27,0,1.77
41.458,2025-12-16T22:18:27,1,47857.18
42.672,2025-12-16T22:18:28,0,1.82
42.672,2025-12-16T22:18:28,1,49152.0
43.909,2025-12-16T22:18:30,0,1.82
43.909,2025-12-16T22:18:30,1,49152.0
45.143,2025-12-16T22:18:31,0,1.82
45.143,2025-12-16T22:18:31,1,49152.0
46.343,2025-12-16T22:18:32,0,1.82
46.343,2025-12-16T22:18:32,1,49152.0
47.605,2025-12-16T22:18:33,0,1.82
47.605,2025-12-16T22:18:33,1,49152.0
48.800,2025-12-16T22:18:35,0,1.82
48.800,2025-12-16T22:18:35,1,49152.0
50.034,2025-12-16T22:18:36,0,1.82
50.034,2025-12-16T22:18:36,1,49152.0
51.264,2025-12-16T22:18:37,0,1.82
51.264,2025-12-16T22:18:37,1,49152.0
52.496,2025-12-16T22:18:38,0,1.82
52.496,2025-12-16T22:18:38,1,49152.0
53.731,2025-12-16T22:18:39,0,1.82
53.731,2025-12-16T22:18:39,1,49152.0
54.968,2025-12-16T22:18:41,0,1.82
54.968,2025-12-16T22:18:41,1,49152.0
56.201,2025-12-16T22:18:42,0,1.82
56.201,2025-12-16T22:18:42,1,49152.0
57.439,2025-12-16T22:18:43,0,1.82
57.439,2025-12-16T22:18:43,1,49152.0
58.661,2025-12-16T22:18:44,0,1.82
58.661,2025-12-16T22:18:44,1,49152.0
59.899,2025-12-16T22:18:46,0,1.82
59.899,2025-12-16T22:18:46,1,49152.0
61.140,2025-12-16T22:18:47,0,1.82
61.140,2025-12-16T22:18:47,1,49152.0
62.377,2025-12-16T22:18:48,0,1.82
