t_seconds,iso_time,node,private_mb
0.000,2025-12-18T18:01:26,0,0.14
0.000,2025-12-18T18:01:26,1,3194.44
1.029,2025-12-18T18:01:27,0,0.14
1.029,2025-12-18T18:01:27,1,4935.09
2.060,2025-12-18T18:01:28,0,0.14
2.060,2025-12-18T18:01:28,1,6687.96
3.100,2025-12-18T18:01:29,0,0.14
3.100,2025-12-18T18:01:29,1,8456.59
4.149,2025-12-18T18:01:31,0,0.14
4.149,2025-12-18T18:01:31,1,10237.92
5.205,2025-12-18T18:01:32,0,0.14
5.205,2025-12-18T18:01:32,1,12033.36
6.271,2025-12-18T18:01:33,0,0.14
6.271,2025-12-18T18:01:33,1,13842.23
7.344,2025-12-18T18:01:34,0,0.14
7.344,2025-12-18T18:01:34,1,15667.91
8.427,2025-12-18T18:01:35,0,0.14
8.427,2025-12-18T18:01:35,1,17504.98
9.519,2025-12-18T18:01:36,0,0.14
9.519,2025-12-18T18:01:36,1,19355.04
10.619,2025-12-18T18:01:37,0,0.14
10.619,2025-12-18T18:01:37,1,21221.8
11.728,2025-12-18T18:01:38,0,0.14
11.728,2025-12-18T18:01:38,1,23105.6
12.847,2025-12-18T18:01:39,0,0.14
12.847,2025-12-18T18:01:39,1,25003.88
13.975,2025-12-18T18:01:40,0,0.14
13.975,2025-12-18T18:01:40,1,26946.69
15.131,2025-12-18T18:01:42,0,0.14
15.131,2025-12-18T18:01:42,1,28904.92
16.296,2025-12-18T18:01:43,0,0.14
16.296,2025-12-18T18:01:43,1,30847.96
17.452,2025-12-18T18:01:44,0,0.14
17.452,2025-12-18T18:01:44,1,32807.18
18.617,2025-12-18T18:01:45,0,0.14
18.617,2025-12-18T18:01:45,1,34781.17
19.792,2025-12-18T18:01:46,0,0.14
19.792,2025-12-18T18:01:46,1,36782.18
20.983,2025-12-18T18:01:48,0,0.14
20.983,2025-12-18T18:01:48,1,38812.84
22.194,2025-12-18T18:01:49,0,0.14
22.194,2025-12-18T18:01:49,1,40835.12
23.399,2025-12-18T18:01:50,0,0.14
23.399,2025-12-18T18:01:50,1,42901.05
24.630,2025-12-18T18:01:51,0,0.14
24.630,2025-12-18T18:01:51,1,44942.91
25.847,2025-12-18T18:01:52,0,0.14
25.847,2025-12-18T18:01:52,1,47035.01
27.096,2025-12-18T18:01:54,0,0.14
27.096,2025-12-18T18:01:54,1,49142.39
28.359,2025-12-18T18:01:55,0,0.14
28.359,2025-12-18T18:01:55,1,51201.68
29.631,2025-12-18T18:01:56,0,473.73
29.631,2025-12-18T18:01:56,1,50728.09
30.898,2025-12-18T18:01:58,0,1569.83
30.898,2025-12-18T18:01:58,1,49631.99
32.166,2025-12-18T18:01:59,0,2670.89
32.166,2025-12-18T18:01:59,1,48530.93
33.434,2025-12-18T18:02:00,0,3770.11
33.434,2025-12-18T18:02:00,1,47431.71
34.680,2025-12-18T18:02:01,0,4853.57
34.680,2025-12-18T18:02:01,1,46348.26
35.950,2025-12-18T18:02:02,0,5951.42
35.950,2025-12-18T18:02:02,1,45250.4
37.154,2025-12-18T18:02:04,0,6995.96
37.154,2025-12-18T18:02:04,1,44205.86
38.357,2025-12-18T18:02:05,0,8042.9
38.357,2025-12-18T18:02:05,1,43158.92
39.600,2025-12-18T18:02:06,0,9123.36
39.600,2025-12-18T18:02:06,1,42078.47
40.843,2025-12-18T18:02:07,0,10201.83
40.843,2025-12-18T18:02:07,1,41000.0
42.085,2025-12-18T18:02:09,0,11287.46
42.085,2025-12-18T18:02:09,1,39914.36
43.351,2025-12-18T18:02:10,0,12385.97
43.351,2025-12-18T18:02:10,1,38815.85
44.614,2025-12-18T18:02:11,0,13483.81
44.614,2025-12-18T18:02:11,1,37718.01
45.879,2025-12-18T18:02:12,0,14573.69
45.879,2025-12-18T18:02:12,1,36628.14
47.119,2025-12-18T18:02:14,0,15658.37
47.119,2025-12-18T18:02:14,1,35543.45
48.379,2025-12-18T18:02:15,0,16735.08
48.379,2025-12-18T18:02:15,1,34466.74
49.579,2025-12-18T18:02:16,0,17797.16
49.579,2025-12-18T18:02:16,1,33404.67
50.839,2025-12-18T18:02:17,0,18879.52
50.839,2025-12-18T18:02:17,1,32322.3
52.076,2025-12-18T18:02:19,0,19952.9
52.076,2025-12-18T18:02:19,1,31248.93
53.288,2025-12-18T18:02:20,0,21019.79
53.288,2025-12-18T18:02:20,1,30182.04
54.552,2025-12-18T18:02:21,0,22119.83
54.552,2025-12-18T18:02:21,1,29081.99
55.814,2025-12-18T18:02:22,0,23192.78
55.814,2025-12-18T18:02:22,1,28009.05
57.018,2025-12-18T18:02:24,0,24262.57
57.018,2025-12-18T18:02:24,1,26939.26
58.278,2025-12-18T18:02:25,0,25327.77
58.278,2025-12-18T18:02:25,1,25874.05
59.476,2025-12-18T18:02:26,0,26381.74
59.476,2025-12-18T18:02:26,1,24820.08
60.711,2025-12-18T18:02:27,0,27452.8
60.711,2025-12-18T18:02:27,1,23749.02
61.944,2025-12-18T18:02:29,0,28524.54
61.944,2025-12-18T18:02:29,1,22677.28
63.177,2025-12-18T18:02:30,0,29588.44
63.177,2025-12-18T18:02:30,1,21613.39
64.383,2025-12-18T18:02:31,0,30627.87
64.383,2025-12-18T18:02:31,1,20573.95
65.579,2025-12-18T18:02:32,0,31681.23
65.579,2025-12-18T18:02:32,1,19520.59
66.809,2025-12-18T18:02:33,0,32751.02
66.809,2025-12-18T18:02:33,1,18450.81
68.040,2025-12-18T18:02:35,0,33801.11
68.040,2025-12-18T18:02:35,1,17400.71
69.235,2025-12-18T18:02:36,0,34838.92
69.235,2025-12-18T18:02:36,1,16362.9
70.432,2025-12-18T18:02:37,0,35877.39
70.432,2025-12-18T18:02:37,1,15324.44
71.625,2025-12-18T18:02:38,0,36913.52
71.625,2025-12-18T18:02:38,1,14288.3
72.819,2025-12-18T18:02:39,0,37969.52
72.819,2025-12-18T18:02:39,1,13232.31
74.047,2025-12-18T18:02:41,0,38400.14
74.047,2025-12-18T18:02:41,1,12801.68
75.272,2025-12-18T18:02:42,0,38400.14
75.272,2025-12-18T18:02:42,1,12801.68
76.502,2025-12-18T18:02:43,0,38400.14
76.502,2025-12-18T18:02:43,1,12801.68
77.694,2025-12-18T18:02:44,0,38400.14
77.694,2025-12-18T18:02:44,1,12801.68
78.925,2025-12-18T18:02:45,0,38400.14
78.925,2025-12-18T18:02:45,1,12801.68
80.151,2025-12-18T18:02:47,0,38400.14
80.151,2025-12-18T18:02:47,1,12801.68
81.380,2025-12-18T18:02:48,0,38400.14
81.380,2025-12-18T18:02:48,1,12801.68
82.608,2025-12-18T18:02:49,0,38400.14
82.608,2025-12-18T18:02:49,1,12801.68
83.838,2025-12-18T18:02:50,0,38400.14
83.838,2025-12-18T18:02:50,1,12801.68
85.063,2025-12-18T18:02:52,0,38400.14
85.063,2025-12-18T18:02:52,1,12801.68
86.292,2025-12-18T18:02:53,0,38400.14
86.292,2025-12-18T18:02:53,1,12801.68
87.520,2025-12-18T18:02:54,0,38400.14
87.520,2025-12-18T18:02:54,1,12801.68
88.750,2025-12-18T18:02:55,0,38400.14
88.750,2025-12-18T18:02:55,1,12801.68
89.987,2025-12-18T18:02:57,0,38400.14
89.987,2025-12-18T18:02:57,1,12801.68
91.225,2025-12-18T18:02:58,0,38400.14
91.225,2025-12-18T18:02:58,1,12801.68
92.463,2025-12-18T18:02:59,0,38400.14
92.463,2025-12-18T18:02:59,1,12801.68
93.699,2025-12-18T18:03:00,0,38400.14
93.699,2025-12-18T18:03:00,1,12801.68
94.936,2025-12-18T18:03:02,0,38400.14
94.936,2025-12-18T18:03:02,1,12801.68
96.174,2025-12-18T18:03:03,0,38400.14
96.174,2025-12-18T18:03:03,1,12801.68
97.374,2025-12-18T18:03:04,0,38400.14
97.374,2025-12-18T18:03:04,1,12801.68
98.611,2025-12-18T18:03:05,0,38400.14
98.611,2025-12-18T18:03:05,1,12801.68
99.849,2025-12-18T18:03:06,0,38400.14
99.849,2025-12-18T18:03:06,1,12801.68
101.078,2025-12-18T18:03:08,0,38400.14
101.078,2025-12-18T18:03:08,1,12801.68
102.339,2025-12-18T18:03:09,0,38400.14
102.339,2025-12-18T18:03:09,1,12801.68
103.599,2025-12-18T18:03:10,0,38400.14
103.599,2025-12-18T18:03:10,1,12801.68
104.837,2025-12-18T18:03:11,0,38400.14
104.837,2025-12-18T18:03:11,1,12801.68
106.099,2025-12-18T18:03:13,0,38400.14
106.099,2025-12-18T18:03:13,1,12801.68
107.336,2025-12-18T18:03:14,0,38400.14
107.336,2025-12-18T18:03:14,1,12801.68
108.600,2025-12-18T18:03:15,0,38400.14
108.600,2025-12-18T18:03:15,1,12801.68
109.799,2025-12-18T18:03:16,0,38400.14
109.799,2025-12-18T18:03:16,1,12801.68
111.000,2025-12-18T18:03:18,0,38400.14
111.000,2025-12-18T18:03:18,1,12801.68
112.238,2025-12-18T18:03:19,0,38400.14
112.238,2025-12-18T18:03:19,1,12801.68
113.477,2025-12-18T18:03:20,0,38400.14
113.477,2025-12-18T18:03:20,1,12801.68
114.740,2025-12-18T18:03:21,0,38400.14
114.740,2025-12-18T18:03:21,1,12801.68
116.004,2025-12-18T18:03:23,0,38400.14
116.004,2025-12-18T18:03:23,1,12801.68
117.204,2025-12-18T18:03:24,0,38400.14
117.204,2025-12-18T18:03:24,1,12801.68
118.402,2025-12-18T18:03:25,0,38400.14
118.402,2025-12-18T18:03:25,1,12801.68
119.668,2025-12-18T18:03:26,0,38400.14
119.668,2025-12-18T18:03:26,1,12801.68
120.959,2025-12-18T18:03:27,0,0.0
120.959,2025-12-18T18:03:27,1,0.0
122.089,2025-12-18T18:03:28,0,0.0
122.089,2025-12-18T18:03:28,1,0.0
