t_seconds,iso_time,node,private_mb
0.014,2026-04-02T22:50:27,0,1025.65
0.014,2026-04-02T22:50:27,1,0.15
1.023,2026-04-02T22:50:28,0,1025.65
1.023,2026-04-02T22:50:28,1,0.15
2.031,2026-04-02T22:50:29,0,1025.65
2.031,2026-04-02T22:50:29,1,0.15
3.039,2026-04-02T22:50:30,0,1025.65
3.039,2026-04-02T22:50:30,1,0.15
4.047,2026-04-02T22:50:31,0,1025.65
4.047,2026-04-02T22:50:31,1,0.15
5.055,2026-04-02T22:50:32,0,1025.65
5.055,2026-04-02T22:50:32,1,0.15
6.064,2026-04-02T22:50:33,0,1025.65
6.064,2026-04-02T22:50:33,1,0.15
7.072,2026-04-02T22:50:34,0,1025.65
7.072,2026-04-02T22:50:34,1,0.15
8.081,2026-04-02T22:50:35,0,1025.65
8.081,2026-04-02T22:50:35,1,0.15
9.090,2026-04-02T22:50:36,0,1025.65
9.090,2026-04-02T22:50:36,1,0.15
10.098,2026-04-02T22:50:37,0,1025.65
10.098,2026-04-02T22:50:37,1,0.15
11.106,2026-04-02T22:50:38,0,1025.65
11.106,2026-04-02T22:50:38,1,0.15
12.115,2026-04-02T22:50:39,0,1025.65
12.115,2026-04-02T22:50:39,1,0.15
13.122,2026-04-02T22:50:40,0,1025.65
13.122,2026-04-02T22:50:40,1,0.15
14.130,2026-04-02T22:50:41,0,1025.65
14.130,2026-04-02T22:50:41,1,0.15
15.138,2026-04-02T22:50:42,0,1025.65
15.138,2026-04-02T22:50:42,1,0.15
16.146,2026-04-02T22:50:43,0,1025.65
16.146,2026-04-02T22:50:43,1,0.15
17.154,2026-04-02T22:50:44,0,1025.65
17.154,2026-04-02T22:50:44,1,0.15
18.163,2026-04-02T22:50:45,0,1025.65
18.163,2026-04-02T22:50:45,1,0.15
19.170,2026-04-02T22:50:46,0,1025.65
19.170,2026-04-02T22:50:46,1,0.15
20.178,2026-04-02T22:50:47,0,1025.65
20.178,2026-04-02T22:50:47,1,0.15
21.186,2026-04-02T22:50:48,0,1025.65
21.186,2026-04-02T22:50:48,1,0.15
22.194,2026-04-02T22:50:49,0,1025.65
22.194,2026-04-02T22:50:49,1,0.15
23.203,2026-04-02T22:50:50,0,1025.65
23.203,2026-04-02T22:50:50,1,0.15
24.210,2026-04-02T22:50:51,0,1025.65
24.210,2026-04-02T22:50:51,1,0.15
25.218,2026-04-02T22:50:52,0,1025.65
25.218,2026-04-02T22:50:52,1,0.15
26.226,2026-04-02T22:50:53,0,1025.65
26.226,2026-04-02T22:50:53,1,0.15
27.235,2026-04-02T22:50:54,0,1025.65
27.235,2026-04-02T22:50:54,1,0.15
28.242,2026-04-02T22:50:55,0,1025.65
28.242,2026-04-02T22:50:55,1,0.15
29.251,2026-04-02T22:50:56,0,1025.65
29.251,2026-04-02T22:50:56,1,0.15
30.258,2026-04-02T22:50:57,0,1025.65
30.258,2026-04-02T22:50:57,1,0.15
31.267,2026-04-02T22:50:58,0,1025.65
31.267,2026-04-02T22:50:58,1,0.15
32.275,2026-04-02T22:50:59,0,1025.65
32.275,2026-04-02T22:50:59,1,0.15
33.283,2026-04-02T22:51:00,0,1025.65
33.283,2026-04-02T22:51:00,1,0.15
34.291,2026-04-02T22:51:01,0,1025.65
34.291,2026-04-02T22:51:01,1,0.15
35.299,2026-04-02T22:51:03,0,1025.65
35.299,2026-04-02T22:51:03,1,0.15
36.306,2026-04-02T22:51:04,0,1025.65
36.306,2026-04-02T22:51:04,1,0.15
37.315,2026-04-02T22:51:05,0,1025.65
37.315,2026-04-02T22:51:05,1,0.15
38.322,2026-04-02T22:51:06,0,1025.65
38.322,2026-04-02T22:51:06,1,0.15
39.331,2026-04-02T22:51:07,0,1025.65
39.331,2026-04-02T22:51:07,1,0.15
40.338,2026-04-02T22:51:08,0,1025.65
40.338,2026-04-02T22:51:08,1,0.15
41.346,2026-04-02T22:51:09,0,1025.65
41.346,2026-04-02T22:51:09,1,0.15
42.354,2026-04-02T22:51:10,0,1025.65
42.354,2026-04-02T22:51:10,1,0.15
43.364,2026-04-02T22:51:11,0,1025.65
43.364,2026-04-02T22:51:11,1,0.15
44.372,2026-04-02T22:51:12,0,1025.65
44.372,2026-04-02T22:51:12,1,0.15
45.380,2026-04-02T22:51:13,0,1025.65
45.380,2026-04-02T22:51:13,1,0.15
46.388,2026-04-02T22:51:14,0,1025.65
46.388,2026-04-02T22:51:14,1,0.15
47.397,2026-04-02T22:51:15,0,1025.65
47.397,2026-04-02T22:51:15,1,0.15
48.404,2026-04-02T22:51:16,0,1025.65
48.404,2026-04-02T22:51:16,1,0.15
49.412,2026-04-02T22:51:17,0,1025.65
49.412,2026-04-02T22:51:17,1,0.15
50.420,2026-04-02T22:51:18,0,1025.65
50.420,2026-04-02T22:51:18,1,0.15
51.428,2026-04-02T22:51:19,0,1025.65
51.428,2026-04-02T22:51:19,1,0.15
52.436,2026-04-02T22:51:20,0,1025.65
52.436,2026-04-02T22:51:20,1,0.15
53.444,2026-04-02T22:51:21,0,1025.65
53.444,2026-04-02T22:51:21,1,0.15
54.452,2026-04-02T22:51:22,0,1025.65
54.452,2026-04-02T22:51:22,1,0.15
55.460,2026-04-02T22:51:23,0,1025.65
55.460,2026-04-02T22:51:23,1,0.15
56.467,2026-04-02T22:51:24,0,1025.65
56.467,2026-04-02T22:51:24,1,0.15
57.475,2026-04-02T22:51:25,0,1025.65
57.475,2026-04-02T22:51:25,1,0.15
58.483,2026-04-02T22:51:26,0,1025.65
58.483,2026-04-02T22:51:26,1,0.15
