t_seconds,iso_time,node,private_mb
0.013,2026-04-02T22:56:22,0,1025.64
0.013,2026-04-02T22:56:22,1,0.15
1.021,2026-04-02T22:56:23,0,1025.64
1.021,2026-04-02T22:56:23,1,0.15
2.031,2026-04-02T22:56:24,0,1025.64
2.031,2026-04-02T22:56:24,1,0.15
3.039,2026-04-02T22:56:25,0,1025.64
3.039,2026-04-02T22:56:25,1,0.15
4.048,2026-04-02T22:56:26,0,1025.64
4.048,2026-04-02T22:56:26,1,0.15
5.057,2026-04-02T22:56:27,0,1025.64
5.057,2026-04-02T22:56:27,1,0.15
6.066,2026-04-02T22:56:28,0,1025.64
6.066,2026-04-02T22:56:28,1,0.15
7.075,2026-04-02T22:56:29,0,1025.64
7.075,2026-04-02T22:56:29,1,0.15
8.084,2026-04-02T22:56:30,0,1025.64
8.084,2026-04-02T22:56:30,1,0.15
9.094,2026-04-02T22:56:31,0,1025.64
9.094,2026-04-02T22:56:31,1,0.15
10.103,2026-04-02T22:56:32,0,1025.64
10.103,2026-04-02T22:56:32,1,0.15
11.111,2026-04-02T22:56:33,0,1025.64
11.111,2026-04-02T22:56:33,1,0.15
12.120,2026-04-02T22:56:34,0,1025.64
12.120,2026-04-02T22:56:34,1,0.15
13.129,2026-04-02T22:56:35,0,1025.64
13.129,2026-04-02T22:56:35,1,0.15
14.137,2026-04-02T22:56:36,0,1025.64
14.137,2026-04-02T22:56:36,1,0.15
15.146,2026-04-02T22:56:37,0,1025.64
15.146,2026-04-02T22:56:37,1,0.15
16.155,2026-04-02T22:56:38,0,1025.64
16.155,2026-04-02T22:56:38,1,0.15
17.163,2026-04-02T22:56:39,0,1025.64
17.163,2026-04-02T22:56:39,1,0.15
18.171,2026-04-02T22:56:40,0,1025.64
18.171,2026-04-02T22:56:40,1,0.15
19.180,2026-04-02T22:56:41,0,1025.64
19.180,2026-04-02T22:56:41,1,0.15
20.189,2026-04-02T22:56:42,0,1025.64
20.189,2026-04-02T22:56:42,1,0.15
21.197,2026-04-02T22:56:43,0,1025.64
21.197,2026-04-02T22:56:43,1,0.15
22.205,2026-04-02T22:56:44,0,1025.64
22.205,2026-04-02T22:56:44,1,0.15
23.213,2026-04-02T22:56:45,0,1025.64
23.213,2026-04-02T22:56:45,1,0.15
24.221,2026-04-02T22:56:46,0,1025.64
24.221,2026-04-02T22:56:46,1,0.15
25.229,2026-04-02T22:56:47,0,1025.64
25.229,2026-04-02T22:56:47,1,0.15
26.237,2026-04-02T22:56:48,0,1025.64
26.237,2026-04-02T22:56:48,1,0.15
27.245,2026-04-02T22:56:49,0,1025.64
27.245,2026-04-02T22:56:49,1,0.15
28.253,2026-04-02T22:56:50,0,1025.64
28.253,2026-04-02T22:56:50,1,0.15
29.261,2026-04-02T22:56:51,0,1025.64
29.261,2026-04-02T22:56:51,1,0.15
30.269,2026-04-02T22:56:52,0,1025.64
30.269,2026-04-02T22:56:52,1,0.15
31.277,2026-04-02T22:56:53,0,1025.64
31.277,2026-04-02T22:56:53,1,0.15
32.285,2026-04-02T22:56:54,0,1025.64
32.285,2026-04-02T22:56:54,1,0.15
33.292,2026-04-02T22:56:55,0,1025.64
33.292,2026-04-02T22:56:55,1,0.15
34.300,2026-04-02T22:56:56,0,1025.64
34.300,2026-04-02T22:56:56,1,0.15
35.308,2026-04-02T22:56:57,0,1025.64
35.308,2026-04-02T22:56:57,1,0.15
36.316,2026-04-02T22:56:58,0,1025.64
36.316,2026-04-02T22:56:58,1,0.15
37.326,2026-04-02T22:56:59,0,1025.64
37.326,2026-04-02T22:56:59,1,0.15
38.335,2026-04-02T22:57:00,0,1025.64
38.335,2026-04-02T22:57:00,1,0.15
39.343,2026-04-02T22:57:01,0,1025.64
39.343,2026-04-02T22:57:01,1,0.15
40.352,2026-04-02T22:57:02,0,1025.64
40.352,2026-04-02T22:57:02,1,0.15
41.361,2026-04-02T22:57:03,0,1025.64
41.361,2026-04-02T22:57:03,1,0.15
42.370,2026-04-02T22:57:04,0,1025.64
42.370,2026-04-02T22:57:04,1,0.15
43.379,2026-04-02T22:57:05,0,1025.64
43.379,2026-04-02T22:57:05,1,0.15
44.388,2026-04-02T22:57:06,0,1025.64
44.388,2026-04-02T22:57:06,1,0.15
45.397,2026-04-02T22:57:07,0,1025.64
45.397,2026-04-02T22:57:07,1,0.15
46.405,2026-04-02T22:57:08,0,1025.64
46.405,2026-04-02T22:57:08,1,0.15
47.414,2026-04-02T22:57:09,0,1025.64
47.414,2026-04-02T22:57:09,1,0.15
48.423,2026-04-02T22:57:10,0,1025.64
48.423,2026-04-02T22:57:10,1,0.15
49.431,2026-04-02T22:57:11,0,1025.64
49.431,2026-04-02T22:57:11,1,0.15
50.440,2026-04-02T22:57:12,0,1025.64
50.440,2026-04-02T22:57:12,1,0.15
51.449,2026-04-02T22:57:13,0,1025.64
51.449,2026-04-02T22:57:13,1,0.15
52.458,2026-04-02T22:57:14,0,1025.64
52.458,2026-04-02T22:57:14,1,0.15
53.467,2026-04-02T22:57:15,0,1025.64
53.467,2026-04-02T22:57:15,1,0.15
54.476,2026-04-02T22:57:16,0,1025.64
54.476,2026-04-02T22:57:16,1,0.15
55.485,2026-04-02T22:57:17,0,1025.64
55.485,2026-04-02T22:57:17,1,0.15
56.494,2026-04-02T22:57:18,0,1025.64
56.494,2026-04-02T22:57:18,1,0.15
57.503,2026-04-02T22:57:19,0,1025.64
57.503,2026-04-02T22:57:19,1,0.15
58.511,2026-04-02T22:57:20,0,1025.64
58.511,2026-04-02T22:57:20,1,0.15
59.521,2026-04-02T22:57:21,0,1025.64
59.521,2026-04-02T22:57:21,1,0.15
60.529,2026-04-02T22:57:22,0,1025.64
60.529,2026-04-02T22:57:22,1,0.15
61.539,2026-04-02T22:57:23,0,1025.64
61.539,2026-04-02T22:57:23,1,0.15
