t_seconds,iso_time,node,private_mb
0.016,2026-03-31T22:39:40,0,0.15
0.016,2026-03-31T22:39:40,1,876.71
1.026,2026-03-31T22:39:41,0,0.15
1.026,2026-03-31T22:39:41,1,1025.65
2.036,2026-03-31T22:39:42,0,0.15
2.036,2026-03-31T22:39:42,1,1025.65
3.046,2026-03-31T22:39:43,0,0.15
3.046,2026-03-31T22:39:43,1,1025.65
4.055,2026-03-31T22:39:44,0,0.15
4.055,2026-03-31T22:39:44,1,1025.65
5.064,2026-03-31T22:39:45,0,0.15
5.064,2026-03-31T22:39:45,1,1025.65
6.073,2026-03-31T22:39:46,0,0.15
6.073,2026-03-31T22:39:46,1,1025.65
7.083,2026-03-31T22:39:47,0,0.15
7.083,2026-03-31T22:39:47,1,1025.65
8.092,2026-03-31T22:39:48,0,0.15
8.092,2026-03-31T22:39:48,1,1025.65
9.101,2026-03-31T22:39:49,0,0.15
9.101,2026-03-31T22:39:49,1,1025.65
10.110,2026-03-31T22:39:50,0,0.15
10.110,2026-03-31T22:39:50,1,1025.65
11.119,2026-03-31T22:39:51,0,0.15
11.119,2026-03-31T22:39:51,1,1025.65
12.128,2026-03-31T22:39:52,0,0.15
12.128,2026-03-31T22:39:52,1,1025.65
13.137,2026-03-31T22:39:53,0,0.15
13.137,2026-03-31T22:39:53,1,1025.65
14.146,2026-03-31T22:39:54,0,0.15
14.146,2026-03-31T22:39:54,1,1025.65
15.155,2026-03-31T22:39:55,0,0.15
15.155,2026-03-31T22:39:55,1,1025.65
16.164,2026-03-31T22:39:56,0,0.15
16.164,2026-03-31T22:39:56,1,1025.65
17.173,2026-03-31T22:39:57,0,0.15
17.173,2026-03-31T22:39:57,1,1025.65
18.182,2026-03-31T22:39:58,0,0.15
18.182,2026-03-31T22:39:58,1,1025.65
19.191,2026-03-31T22:39:59,0,0.15
19.191,2026-03-31T22:39:59,1,1025.65
20.200,2026-03-31T22:40:00,0,0.15
20.200,2026-03-31T22:40:00,1,1025.65
21.209,2026-03-31T22:40:01,0,0.15
21.209,2026-03-31T22:40:01,1,1025.65
22.219,2026-03-31T22:40:02,0,0.15
22.219,2026-03-31T22:40:02,1,1025.65
23.229,2026-03-31T22:40:03,0,0.15
23.229,2026-03-31T22:40:03,1,1025.65
24.239,2026-03-31T22:40:04,0,0.15
24.239,2026-03-31T22:40:04,1,1025.65
25.248,2026-03-31T22:40:05,0,0.15
25.248,2026-03-31T22:40:05,1,1025.65
26.257,2026-03-31T22:40:06,0,0.15
26.257,2026-03-31T22:40:06,1,1025.65
27.266,2026-03-31T22:40:07,0,0.15
27.266,2026-03-31T22:40:07,1,1025.65
28.275,2026-03-31T22:40:08,0,0.15
28.275,2026-03-31T22:40:08,1,1025.65
29.284,2026-03-31T22:40:09,0,0.15
29.284,2026-03-31T22:40:09,1,1025.65
30.293,2026-03-31T22:40:10,0,0.15
30.293,2026-03-31T22:40:10,1,1025.65
31.302,2026-03-31T22:40:11,0,0.15
31.302,2026-03-31T22:40:11,1,1025.65
32.311,2026-03-31T22:40:12,0,0.15
32.311,2026-03-31T22:40:12,1,1025.65
33.320,2026-03-31T22:40:13,0,0.15
33.320,2026-03-31T22:40:13,1,1025.65
34.329,2026-03-31T22:40:14,0,0.15
34.329,2026-03-31T22:40:14,1,1025.65
35.338,2026-03-31T22:40:15,0,0.15
35.338,2026-03-31T22:40:15,1,1025.65
36.347,2026-03-31T22:40:16,0,0.15
36.347,2026-03-31T22:40:16,1,1025.65
37.356,2026-03-31T22:40:17,0,0.15
37.356,2026-03-31T22:40:17,1,1025.65
38.365,2026-03-31T22:40:18,0,0.15
38.365,2026-03-31T22:40:18,1,1025.65
39.374,2026-03-31T22:40:19,0,0.15
39.374,2026-03-31T22:40:19,1,1025.65
40.383,2026-03-31T22:40:20,0,0.15
40.383,2026-03-31T22:40:20,1,1025.65
41.392,2026-03-31T22:40:21,0,0.15
41.392,2026-03-31T22:40:21,1,1025.65
42.401,2026-03-31T22:40:22,0,0.15
42.401,2026-03-31T22:40:22,1,1025.65
43.410,2026-03-31T22:40:23,0,241.81
43.410,2026-03-31T22:40:23,1,783.98
44.421,2026-03-31T22:40:24,0,256.15
44.421,2026-03-31T22:40:24,1,769.65
45.433,2026-03-31T22:40:25,0,256.15
45.433,2026-03-31T22:40:25,1,769.65
46.442,2026-03-31T22:40:26,0,256.15
46.442,2026-03-31T22:40:26,1,769.65
47.452,2026-03-31T22:40:27,0,256.15
47.452,2026-03-31T22:40:27,1,769.65
48.462,2026-03-31T22:40:28,0,256.15
48.462,2026-03-31T22:40:28,1,769.65
49.471,2026-03-31T22:40:29,0,256.15
49.471,2026-03-31T22:40:29,1,769.65
50.481,2026-03-31T22:40:30,0,256.15
50.481,2026-03-31T22:40:30,1,769.65
51.491,2026-03-31T22:40:31,0,256.15
51.491,2026-03-31T22:40:31,1,769.65
52.500,2026-03-31T22:40:32,0,256.15
52.500,2026-03-31T22:40:32,1,769.65
53.511,2026-03-31T22:40:33,0,256.15
53.511,2026-03-31T22:40:33,1,769.65
54.520,2026-03-31T22:40:34,0,256.15
54.520,2026-03-31T22:40:34,1,769.65
55.530,2026-03-31T22:40:35,0,256.15
55.530,2026-03-31T22:40:35,1,769.65
56.540,2026-03-31T22:40:36,0,256.15
56.540,2026-03-31T22:40:36,1,769.65
57.550,2026-03-31T22:40:37,0,256.15
57.550,2026-03-31T22:40:37,1,769.65
58.560,2026-03-31T22:40:38,0,256.15
58.560,2026-03-31T22:40:38,1,769.65
59.571,2026-03-31T22:40:39,0,256.15
59.571,2026-03-31T22:40:39,1,769.65
60.580,2026-03-31T22:40:40,0,256.15
60.580,2026-03-31T22:40:40,1,769.65
61.590,2026-03-31T22:40:41,0,256.15
61.590,2026-03-31T22:40:41,1,769.65
62.601,2026-03-31T22:40:42,0,256.15
62.601,2026-03-31T22:40:42,1,769.65
63.612,2026-03-31T22:40:43,0,256.15
63.612,2026-03-31T22:40:43,1,769.65
64.623,2026-03-31T22:40:44,0,256.15
64.623,2026-03-31T22:40:44,1,769.65
65.634,2026-03-31T22:40:45,0,256.15
65.634,2026-03-31T22:40:45,1,769.65
66.645,2026-03-31T22:40:46,0,256.15
66.645,2026-03-31T22:40:46,1,769.65
67.656,2026-03-31T22:40:48,0,256.15
67.656,2026-03-31T22:40:48,1,769.65
68.668,2026-03-31T22:40:49,0,256.15
68.668,2026-03-31T22:40:49,1,769.65
69.679,2026-03-31T22:40:50,0,256.15
69.679,2026-03-31T22:40:50,1,769.65
70.690,2026-03-31T22:40:51,0,256.15
70.690,2026-03-31T22:40:51,1,769.65
71.702,2026-03-31T22:40:52,0,256.15
71.702,2026-03-31T22:40:52,1,769.65
72.712,2026-03-31T22:40:53,0,256.15
72.712,2026-03-31T22:40:53,1,769.65
73.721,2026-03-31T22:40:54,0,256.15
73.721,2026-03-31T22:40:54,1,769.65
74.731,2026-03-31T22:40:55,0,256.15
74.731,2026-03-31T22:40:55,1,769.65
75.740,2026-03-31T22:40:56,0,256.15
75.740,2026-03-31T22:40:56,1,769.65
76.750,2026-03-31T22:40:57,0,256.15
76.750,2026-03-31T22:40:57,1,769.65
77.760,2026-03-31T22:40:58,0,256.15
77.760,2026-03-31T22:40:58,1,769.65
78.768,2026-03-31T22:40:59,0,256.15
78.768,2026-03-31T22:40:59,1,769.65
79.778,2026-03-31T22:41:00,0,256.15
79.778,2026-03-31T22:41:00,1,769.65
80.787,2026-03-31T22:41:01,0,256.15
80.787,2026-03-31T22:41:01,1,769.65
81.797,2026-03-31T22:41:02,0,256.15
81.797,2026-03-31T22:41:02,1,769.65
82.807,2026-03-31T22:41:03,0,256.15
82.807,2026-03-31T22:41:03,1,769.65
83.815,2026-03-31T22:41:04,0,256.15
83.815,2026-03-31T22:41:04,1,769.65
84.825,2026-03-31T22:41:05,0,256.15
84.825,2026-03-31T22:41:05,1,769.65
85.835,2026-03-31T22:41:06,0,256.15
85.835,2026-03-31T22:41:06,1,769.65
86.843,2026-03-31T22:41:07,0,256.15
86.843,2026-03-31T22:41:07,1,769.65
87.853,2026-03-31T22:41:08,0,256.15
87.853,2026-03-31T22:41:08,1,769.65
88.862,2026-03-31T22:41:09,0,256.15
88.862,2026-03-31T22:41:09,1,769.65
89.871,2026-03-31T22:41:10,0,256.15
89.871,2026-03-31T22:41:10,1,769.65
90.880,2026-03-31T22:41:11,0,256.15
90.880,2026-03-31T22:41:11,1,769.65
91.890,2026-03-31T22:41:12,0,256.15
91.890,2026-03-31T22:41:12,1,769.65
