t_seconds,iso_time,node,used_mib
0.000,2025-12-15T01:14:15,0,344.62
0.000,2025-12-15T01:14:15,1,803.69
0.506,2025-12-15T01:14:15,0,344.62
0.506,2025-12-15T01:14:15,1,803.69
1.009,2025-12-15T01:14:16,0,344.38
1.009,2025-12-15T01:14:16,1,803.44
1.512,2025-12-15T01:14:16,0,343.88
1.512,2025-12-15T01:14:16,1,802.95
2.016,2025-12-15T01:14:17,0,343.88
2.016,2025-12-15T01:14:17,1,802.7
2.519,2025-12-15T01:14:17,0,343.88
2.519,2025-12-15T01:14:17,1,802.7
3.023,2025-12-15T01:14:18,0,343.64
3.023,2025-12-15T01:14:18,1,802.21
3.526,2025-12-15T01:14:18,0,343.64
3.526,2025-12-15T01:14:18,1,802.21
4.029,2025-12-15T01:14:19,0,343.64
4.029,2025-12-15T01:14:19,1,802.21
4.532,2025-12-15T01:14:19,0,343.39
4.532,2025-12-15T01:14:19,1,801.96
5.036,2025-12-15T01:14:20,0,343.39
5.036,2025-12-15T01:14:20,1,801.96
5.539,2025-12-15T01:14:20,0,343.39
5.539,2025-12-15T01:14:20,1,801.96
6.043,2025-12-15T01:14:21,0,343.39
6.043,2025-12-15T01:14:21,1,801.96
6.546,2025-12-15T01:14:21,0,343.14
6.546,2025-12-15T01:14:21,1,801.72
7.049,2025-12-15T01:14:22,0,342.9
7.049,2025-12-15T01:14:22,1,801.72
7.552,2025-12-15T01:14:22,0,342.9
7.552,2025-12-15T01:14:22,1,801.72
8.056,2025-12-15T01:14:23,0,342.9
8.056,2025-12-15T01:14:23,1,801.47
8.559,2025-12-15T01:14:23,0,342.9
8.559,2025-12-15T01:14:23,1,801.47
9.063,2025-12-15T01:14:24,0,342.9
9.063,2025-12-15T01:14:24,1,801.47
9.566,2025-12-15T01:14:24,0,342.9
9.566,2025-12-15T01:14:24,1,801.47
10.069,2025-12-15T01:14:25,0,342.9
10.069,2025-12-15T01:14:25,1,801.47
10.571,2025-12-15T01:14:25,0,342.9
10.571,2025-12-15T01:14:25,1,801.47
11.075,2025-12-15T01:14:26,0,342.9
11.075,2025-12-15T01:14:26,1,801.47
11.579,2025-12-15T01:14:26,0,342.65
11.579,2025-12-15T01:14:26,1,801.23
12.082,2025-12-15T01:14:27,0,342.65
12.082,2025-12-15T01:14:27,1,801.23
12.585,2025-12-15T01:14:27,0,342.65
12.585,2025-12-15T01:14:27,1,801.23
13.088,2025-12-15T01:14:28,0,342.41
13.088,2025-12-15T01:14:28,1,800.98
13.592,2025-12-15T01:14:28,0,342.41
13.592,2025-12-15T01:14:28,1,800.73
14.095,2025-12-15T01:14:29,0,342.41
14.095,2025-12-15T01:14:29,1,800.73
14.599,2025-12-15T01:14:29,0,342.41
14.599,2025-12-15T01:14:29,1,800.73
15.102,2025-12-15T01:14:30,0,342.41
15.102,2025-12-15T01:14:30,1,800.73
15.605,2025-12-15T01:14:30,0,342.41
15.605,2025-12-15T01:14:30,1,800.73
16.108,2025-12-15T01:14:31,0,342.16
16.108,2025-12-15T01:14:31,1,800.48
16.612,2025-12-15T01:14:31,0,342.16
16.612,2025-12-15T01:14:31,1,800.98
17.116,2025-12-15T01:14:32,0,341.91
17.116,2025-12-15T01:14:32,1,800.98
17.619,2025-12-15T01:14:32,0,341.91
17.619,2025-12-15T01:14:32,1,800.98
18.123,2025-12-15T01:14:33,0,341.66
18.123,2025-12-15T01:14:33,1,800.98
18.626,2025-12-15T01:14:33,0,341.66
18.626,2025-12-15T01:14:33,1,800.98
19.129,2025-12-15T01:14:34,0,341.66
19.129,2025-12-15T01:14:34,1,800.98
19.633,2025-12-15T01:14:34,0,341.4
19.633,2025-12-15T01:14:34,1,800.71
