t_seconds,iso_time,node,private_mb
0.000,2025-12-15T03:28:29,0,5645.59
0.000,2025-12-15T03:28:29,1,1.66
1.033,2025-12-15T03:28:31,0,7746.35
1.033,2025-12-15T03:28:31,1,1.66
2.079,2025-12-15T03:28:32,0,9862.23
2.079,2025-12-15T03:28:32,1,1.66
3.132,2025-12-15T03:28:33,0,12005.39
3.132,2025-12-15T03:28:33,1,1.66
4.199,2025-12-15T03:28:34,0,14150.51
4.199,2025-12-15T03:28:34,1,1.66
5.266,2025-12-15T03:28:35,0,16313.29
5.266,2025-12-15T03:28:35,1,1.66
6.343,2025-12-15T03:28:36,0,18523.25
6.343,2025-12-15T03:28:36,1,1.66
7.443,2025-12-15T03:28:37,0,20757.13
7.443,2025-12-15T03:28:37,1,1.66
8.555,2025-12-15T03:28:38,0,23019.24
8.555,2025-12-15T03:28:38,1,1.66
9.679,2025-12-15T03:28:39,0,25261.8
9.679,2025-12-15T03:28:39,1,1.66
10.795,2025-12-15T03:28:40,0,27521.73
10.795,2025-12-15T03:28:40,1,1.66
11.918,2025-12-15T03:28:41,0,29800.29
11.918,2025-12-15T03:28:41,1,1.66
13.050,2025-12-15T03:28:43,0,32100.28
13.050,2025-12-15T03:28:43,1,1.66
14.193,2025-12-15T03:28:44,0,34415.51
14.193,2025-12-15T03:28:44,1,1.66
15.343,2025-12-15T03:28:45,0,36752.96
15.343,2025-12-15T03:28:45,1,1.66
16.504,2025-12-15T03:28:46,0,39112.34
16.504,2025-12-15T03:28:46,1,1.66
17.675,2025-12-15T03:28:47,0,41488.29
17.675,2025-12-15T03:28:47,1,1.66
18.856,2025-12-15T03:28:48,0,43887.04
18.856,2025-12-15T03:28:48,1,1.66
20.046,2025-12-15T03:28:50,0,46307.93
20.046,2025-12-15T03:28:50,1,1.66
21.248,2025-12-15T03:28:51,0,48744.03
21.248,2025-12-15T03:28:51,1,1.66
22.459,2025-12-15T03:28:52,0,51205.58
22.459,2025-12-15T03:28:52,1,1.66
23.681,2025-12-15T03:28:53,0,53694.05
23.681,2025-12-15T03:28:53,1,1.66
24.915,2025-12-15T03:28:55,0,56201.84
24.915,2025-12-15T03:28:55,1,1.66
26.158,2025-12-15T03:28:56,0,58722.25
26.158,2025-12-15T03:28:56,1,1.66
27.412,2025-12-15T03:28:57,0,59394.09
27.412,2025-12-15T03:28:57,1,1.66
28.668,2025-12-15T03:28:58,0,59417.79
28.668,2025-12-15T03:28:58,1,1.67
29.924,2025-12-15T03:29:00,0,59825.72
29.924,2025-12-15T03:29:00,1,319.37
31.170,2025-12-15T03:29:01,0,59864.0
31.170,2025-12-15T03:29:01,1,2424.55
32.449,2025-12-15T03:29:02,0,59873.24
32.449,2025-12-15T03:29:02,1,4582.33
33.744,2025-12-15T03:29:03,0,59877.09
33.744,2025-12-15T03:29:03,1,6771.6
35.056,2025-12-15T03:29:05,0,59889.25
35.056,2025-12-15T03:29:05,1,8987.77
36.384,2025-12-15T03:29:06,0,59894.37
36.384,2025-12-15T03:29:06,1,11234.97
37.729,2025-12-15T03:29:08,0,59891.81
37.729,2025-12-15T03:29:08,1,13498.41
39.086,2025-12-15T03:29:09,0,59907.67
39.086,2025-12-15T03:29:09,1,15783.36
40.467,2025-12-15T03:29:10,0,59916.59
40.467,2025-12-15T03:29:10,1,18104.04
41.864,2025-12-15T03:29:12,0,59545.77
41.864,2025-12-15T03:29:12,1,20455.8
43.238,2025-12-15T03:29:13,0,59178.61
43.238,2025-12-15T03:29:13,1,20823.16
44.672,2025-12-15T03:29:15,0,59178.61
44.672,2025-12-15T03:29:15,1,20823.16
46.110,2025-12-15T03:29:16,0,59178.61
46.110,2025-12-15T03:29:16,1,20823.16
47.544,2025-12-15T03:29:17,0,59178.61
47.544,2025-12-15T03:29:17,1,20823.16
48.983,2025-12-15T03:29:19,0,59178.61
48.983,2025-12-15T03:29:19,1,20823.16
50.412,2025-12-15T03:29:20,0,59178.61
50.412,2025-12-15T03:29:20,1,20823.16
51.853,2025-12-15T03:29:22,0,59178.61
51.853,2025-12-15T03:29:22,1,20823.16
53.279,2025-12-15T03:29:23,0,59178.61
53.279,2025-12-15T03:29:23,1,20823.16
54.719,2025-12-15T03:29:25,0,59178.61
54.719,2025-12-15T03:29:25,1,20823.16
56.150,2025-12-15T03:29:26,0,59178.61
56.150,2025-12-15T03:29:26,1,20823.16
57.590,2025-12-15T03:29:27,0,59178.61
57.590,2025-12-15T03:29:27,1,20823.16
59.024,2025-12-15T03:29:29,0,59178.61
59.024,2025-12-15T03:29:29,1,20823.16
