t_seconds,iso_time,node,private_mb
0.000,2025-12-15T02:03:46,0,3783.99
0.000,2025-12-15T02:03:46,1,1.63
1.022,2025-12-15T02:03:47,0,5757.36
1.022,2025-12-15T02:03:47,1,1.63
2.056,2025-12-15T02:03:48,0,7750.77
2.056,2025-12-15T02:03:48,1,1.63
3.100,2025-12-15T02:03:49,0,9764.95
3.100,2025-12-15T02:03:49,1,1.63
4.155,2025-12-15T02:03:50,0,11789.98
4.155,2025-12-15T02:03:50,1,1.63
5.217,2025-12-15T02:03:51,0,13839.11
5.217,2025-12-15T02:03:51,1,1.63
6.292,2025-12-15T02:03:52,0,15913.52
6.292,2025-12-15T02:03:52,1,1.63
7.377,2025-12-15T02:03:53,0,18011.09
7.377,2025-12-15T02:03:53,1,1.63
8.473,2025-12-15T02:03:54,0,20130.79
8.473,2025-12-15T02:03:54,1,1.63
9.579,2025-12-15T02:03:55,0,22232.23
9.579,2025-12-15T02:03:55,1,1.63
10.679,2025-12-15T02:03:57,0,24354.48
10.679,2025-12-15T02:03:57,1,1.63
11.787,2025-12-15T02:03:58,0,26488.57
11.787,2025-12-15T02:03:58,1,1.63
12.902,2025-12-15T02:03:59,0,28681.02
12.902,2025-12-15T02:03:59,1,1.63
14.048,2025-12-15T02:04:00,0,30899.82
14.048,2025-12-15T02:04:00,1,1.63
15.208,2025-12-15T02:04:01,0,33139.59
15.208,2025-12-15T02:04:01,1,1.63
16.379,2025-12-15T02:04:02,0,35400.45
16.379,2025-12-15T02:04:02,1,1.63
17.561,2025-12-15T02:04:04,0,37670.86
17.561,2025-12-15T02:04:04,1,1.63
18.748,2025-12-15T02:04:05,0,39958.37
18.748,2025-12-15T02:04:05,1,1.63
19.946,2025-12-15T02:04:06,0,40000.13
19.946,2025-12-15T02:04:06,1,1.63
21.149,2025-12-15T02:04:07,0,40000.13
21.149,2025-12-15T02:04:07,1,1.63
22.351,2025-12-15T02:04:08,0,40000.13
22.351,2025-12-15T02:04:08,1,1.63
23.559,2025-12-15T02:04:10,0,40000.13
23.559,2025-12-15T02:04:10,1,1.63
24.768,2025-12-15T02:04:11,0,40000.13
24.768,2025-12-15T02:04:11,1,1.63
25.963,2025-12-15T02:04:12,0,40000.13
25.963,2025-12-15T02:04:12,1,1.63
27.172,2025-12-15T02:04:13,0,40000.13
27.172,2025-12-15T02:04:13,1,1.63
28.379,2025-12-15T02:04:14,0,40000.13
28.379,2025-12-15T02:04:14,1,1.63
29.588,2025-12-15T02:04:16,0,40000.13
29.588,2025-12-15T02:04:16,1,1.63
30.770,2025-12-15T02:04:17,0,40000.13
30.770,2025-12-15T02:04:17,1,1.63
31.973,2025-12-15T02:04:18,0,40000.13
31.973,2025-12-15T02:04:18,1,1.63
33.178,2025-12-15T02:04:19,0,40000.13
33.178,2025-12-15T02:04:19,1,1.63
34.381,2025-12-15T02:04:20,0,40000.13
34.381,2025-12-15T02:04:20,1,1.63
35.586,2025-12-15T02:04:22,0,40000.13
35.586,2025-12-15T02:04:22,1,1.63
36.789,2025-12-15T02:04:23,0,40000.13
36.789,2025-12-15T02:04:23,1,1.63
37.980,2025-12-15T02:04:24,0,40000.13
37.980,2025-12-15T02:04:24,1,1.63
39.163,2025-12-15T02:04:25,0,40000.13
39.163,2025-12-15T02:04:25,1,1.63
40.344,2025-12-15T02:04:26,0,40000.13
40.344,2025-12-15T02:04:26,1,1.63
41.551,2025-12-15T02:04:28,0,40000.13
41.551,2025-12-15T02:04:28,1,1.63
42.760,2025-12-15T02:04:29,0,40000.13
42.760,2025-12-15T02:04:29,1,1.63
43.967,2025-12-15T02:04:30,0,40000.13
43.967,2025-12-15T02:04:30,1,1.63
45.176,2025-12-15T02:04:31,0,40000.13
45.176,2025-12-15T02:04:31,1,1.63
46.384,2025-12-15T02:04:32,0,40000.13
46.384,2025-12-15T02:04:32,1,1.63
47.592,2025-12-15T02:04:34,0,40000.13
47.592,2025-12-15T02:04:34,1,1.63
48.774,2025-12-15T02:04:35,0,40000.13
48.774,2025-12-15T02:04:35,1,1.63
49.964,2025-12-15T02:04:36,0,40000.13
49.964,2025-12-15T02:04:36,1,1.63
51.171,2025-12-15T02:04:37,0,40000.13
51.171,2025-12-15T02:04:37,1,1.63
52.353,2025-12-15T02:04:38,0,40000.13
52.353,2025-12-15T02:04:38,1,1.63
53.558,2025-12-15T02:04:40,0,40000.13
53.558,2025-12-15T02:04:40,1,1.63
54.760,2025-12-15T02:04:41,0,40000.13
54.760,2025-12-15T02:04:41,1,1.63
55.966,2025-12-15T02:04:42,0,40000.13
55.966,2025-12-15T02:04:42,1,1.63
57.176,2025-12-15T02:04:43,0,40000.13
57.176,2025-12-15T02:04:43,1,1.63
58.383,2025-12-15T02:04:44,0,40000.13
58.383,2025-12-15T02:04:44,1,1.63
59.591,2025-12-15T02:04:46,0,40000.13
59.591,2025-12-15T02:04:46,1,1.63
