t_seconds,iso_time,node,private_mb
0.000,2025-12-15T02:59:01,0,3185.2
0.000,2025-12-15T02:59:01,1,1.75
1.021,2025-12-15T02:59:02,0,4000.03
1.021,2025-12-15T02:59:02,1,1.74
2.049,2025-12-15T02:59:03,0,4000.03
2.049,2025-12-15T02:59:03,1,1.74
3.078,2025-12-15T02:59:04,0,4000.03
3.078,2025-12-15T02:59:04,1,1.74
4.107,2025-12-15T02:59:05,0,4000.03
4.107,2025-12-15T02:59:05,1,1.74
5.134,2025-12-15T02:59:06,0,4000.03
5.134,2025-12-15T02:59:06,1,1.74
6.162,2025-12-15T02:59:07,0,4000.03
6.162,2025-12-15T02:59:07,1,1.74
7.188,2025-12-15T02:59:08,0,4000.03
7.188,2025-12-15T02:59:08,1,1.74
8.215,2025-12-15T02:59:09,0,4000.03
8.215,2025-12-15T02:59:09,1,1.74
9.242,2025-12-15T02:59:10,0,4000.03
9.242,2025-12-15T02:59:10,1,1.74
10.270,2025-12-15T02:59:11,0,4000.03
10.270,2025-12-15T02:59:11,1,1.74
11.296,2025-12-15T02:59:12,0,4000.03
11.296,2025-12-15T02:59:12,1,1.74
12.325,2025-12-15T02:59:13,0,4000.03
12.325,2025-12-15T02:59:13,1,1.74
13.354,2025-12-15T02:59:14,0,4000.03
13.354,2025-12-15T02:59:14,1,1.74
14.381,2025-12-15T02:59:15,0,4000.03
14.381,2025-12-15T02:59:15,1,1.74
15.402,2025-12-15T02:59:17,0,4000.03
15.402,2025-12-15T02:59:17,1,1.74
16.429,2025-12-15T02:59:18,0,4000.03
16.429,2025-12-15T02:59:18,1,1.74
17.455,2025-12-15T02:59:19,0,4000.03
17.455,2025-12-15T02:59:19,1,1.74
18.483,2025-12-15T02:59:20,0,4000.03
18.483,2025-12-15T02:59:20,1,1.74
19.511,2025-12-15T02:59:21,0,4000.03
19.511,2025-12-15T02:59:21,1,1.74
20.538,2025-12-15T02:59:22,0,4000.03
20.538,2025-12-15T02:59:22,1,1.74
21.565,2025-12-15T02:59:23,0,4000.03
21.565,2025-12-15T02:59:23,1,1.74
22.591,2025-12-15T02:59:24,0,4000.03
22.591,2025-12-15T02:59:24,1,1.74
23.619,2025-12-15T02:59:25,0,4000.03
23.619,2025-12-15T02:59:25,1,1.74
24.646,2025-12-15T02:59:26,0,4000.03
24.646,2025-12-15T02:59:26,1,1.74
25.673,2025-12-15T02:59:27,0,4000.03
25.673,2025-12-15T02:59:27,1,1.74
26.699,2025-12-15T02:59:28,0,4000.03
26.699,2025-12-15T02:59:28,1,1.74
27.727,2025-12-15T02:59:29,0,4000.03
27.727,2025-12-15T02:59:29,1,1.74
28.754,2025-12-15T02:59:30,0,4000.03
28.754,2025-12-15T02:59:30,1,1.74
29.781,2025-12-15T02:59:31,0,4000.03
29.781,2025-12-15T02:59:31,1,1.74
30.807,2025-12-15T02:59:32,0,4000.03
30.807,2025-12-15T02:59:32,1,1.74
31.835,2025-12-15T02:59:33,0,4000.03
31.835,2025-12-15T02:59:33,1,1.74
32.863,2025-12-15T02:59:34,0,4000.03
32.863,2025-12-15T02:59:34,1,1.74
33.890,2025-12-15T02:59:35,0,4000.03
33.890,2025-12-15T02:59:35,1,1.74
34.917,2025-12-15T02:59:36,0,4000.03
34.917,2025-12-15T02:59:36,1,1.74
35.945,2025-12-15T02:59:37,0,4000.03
35.945,2025-12-15T02:59:37,1,1.74
36.972,2025-12-15T02:59:38,0,4000.03
36.972,2025-12-15T02:59:38,1,1.74
37.999,2025-12-15T02:59:39,0,4000.03
37.999,2025-12-15T02:59:39,1,1.74
39.026,2025-12-15T02:59:40,0,4000.03
39.026,2025-12-15T02:59:40,1,1.74
40.053,2025-12-15T02:59:41,0,4000.03
40.053,2025-12-15T02:59:41,1,1.74
41.080,2025-12-15T02:59:42,0,4000.03
41.080,2025-12-15T02:59:42,1,1.74
42.107,2025-12-15T02:59:43,0,4000.03
42.107,2025-12-15T02:59:43,1,1.74
43.134,2025-12-15T02:59:44,0,4000.03
43.134,2025-12-15T02:59:44,1,1.74
44.161,2025-12-15T02:59:45,0,4000.03
44.161,2025-12-15T02:59:45,1,1.74
45.187,2025-12-15T02:59:46,0,4000.03
45.187,2025-12-15T02:59:46,1,1.74
46.214,2025-12-15T02:59:47,0,4000.03
46.214,2025-12-15T02:59:47,1,1.74
47.242,2025-12-15T02:59:48,0,4000.03
47.242,2025-12-15T02:59:48,1,1.74
48.268,2025-12-15T02:59:49,0,4000.03
48.268,2025-12-15T02:59:49,1,1.74
49.295,2025-12-15T02:59:50,0,4000.03
49.295,2025-12-15T02:59:50,1,1.74
50.322,2025-12-15T02:59:51,0,4000.03
50.322,2025-12-15T02:59:51,1,1.74
51.349,2025-12-15T02:59:52,0,4000.03
51.349,2025-12-15T02:59:52,1,1.74
52.377,2025-12-15T02:59:53,0,4000.03
52.377,2025-12-15T02:59:53,1,1.74
53.404,2025-12-15T02:59:55,0,4000.03
53.404,2025-12-15T02:59:55,1,1.74
54.431,2025-12-15T02:59:56,0,4000.03
54.431,2025-12-15T02:59:56,1,1.74
55.455,2025-12-15T02:59:57,0,4000.03
55.455,2025-12-15T02:59:57,1,1.74
56.482,2025-12-15T02:59:58,0,4000.03
56.482,2025-12-15T02:59:58,1,1.74
57.510,2025-12-15T02:59:59,0,4000.03
57.510,2025-12-15T02:59:59,1,1.74
58.538,2025-12-15T03:00:00,0,4000.03
58.538,2025-12-15T03:00:00,1,1.74
59.567,2025-12-15T03:00:01,0,4000.03
59.567,2025-12-15T03:00:01,1,1.74
