t_seconds,iso_time,node,private_mb
0.000,2025-12-15T02:21:59,0,3480.27
0.000,2025-12-15T02:21:59,1,1.65
1.025,2025-12-15T02:22:00,0,5456.4
1.025,2025-12-15T02:22:00,1,1.65
2.059,2025-12-15T02:22:01,0,7454.29
2.059,2025-12-15T02:22:01,1,1.65
3.103,2025-12-15T02:22:02,0,9471.43
3.103,2025-12-15T02:22:02,1,1.65
4.156,2025-12-15T02:22:03,0,11509.56
4.156,2025-12-15T02:22:03,1,1.65
5.221,2025-12-15T02:22:04,0,13564.68
5.221,2025-12-15T02:22:04,1,1.65
6.296,2025-12-15T02:22:06,0,15638.86
6.296,2025-12-15T02:22:06,1,1.65
7.380,2025-12-15T02:22:07,0,17733.2
7.380,2025-12-15T02:22:07,1,1.65
8.474,2025-12-15T02:22:08,0,19843.65
8.474,2025-12-15T02:22:08,1,1.65
9.580,2025-12-15T02:22:09,0,21959.07
9.580,2025-12-15T02:22:09,1,1.65
10.695,2025-12-15T02:22:10,0,24112.62
10.695,2025-12-15T02:22:10,1,1.65
11.821,2025-12-15T02:22:11,0,26289.13
11.821,2025-12-15T02:22:11,1,1.65
12.959,2025-12-15T02:22:12,0,28484.36
12.959,2025-12-15T02:22:12,1,1.65
14.107,2025-12-15T02:22:13,0,30698.17
14.107,2025-12-15T02:22:13,1,1.65
15.266,2025-12-15T02:22:15,0,32934.49
15.266,2025-12-15T02:22:15,1,1.65
16.435,2025-12-15T02:22:16,0,35181.89
16.435,2025-12-15T02:22:16,1,1.65
17.612,2025-12-15T02:22:17,0,37456.24
17.612,2025-12-15T02:22:17,1,1.65
18.803,2025-12-15T02:22:18,0,39738.28
18.803,2025-12-15T02:22:18,1,1.65
19.996,2025-12-15T02:22:19,0,40000.11
19.996,2025-12-15T02:22:19,1,1.65
21.205,2025-12-15T02:22:21,0,40000.11
21.205,2025-12-15T02:22:21,1,1.65
22.413,2025-12-15T02:22:22,0,40000.11
22.413,2025-12-15T02:22:22,1,1.65
23.620,2025-12-15T02:22:23,0,40000.11
23.620,2025-12-15T02:22:23,1,1.65
24.780,2025-12-15T02:22:24,0,40000.11
24.780,2025-12-15T02:22:24,1,1.65
25.936,2025-12-15T02:22:25,0,40000.11
25.936,2025-12-15T02:22:25,1,1.65
27.120,2025-12-15T02:22:26,0,40000.11
27.120,2025-12-15T02:22:26,1,1.65
28.302,2025-12-15T02:22:28,0,40000.11
28.302,2025-12-15T02:22:28,1,1.65
29.486,2025-12-15T02:22:29,0,40000.11
29.486,2025-12-15T02:22:29,1,1.65
30.692,2025-12-15T02:22:30,0,40000.11
30.692,2025-12-15T02:22:30,1,1.65
31.894,2025-12-15T02:22:31,0,40000.11
31.894,2025-12-15T02:22:31,1,1.65
33.098,2025-12-15T02:22:32,0,40000.11
33.098,2025-12-15T02:22:32,1,1.65
34.304,2025-12-15T02:22:34,0,40000.11
34.304,2025-12-15T02:22:34,1,1.65
35.514,2025-12-15T02:22:35,0,40000.11
35.514,2025-12-15T02:22:35,1,1.65
36.691,2025-12-15T02:22:36,0,40000.11
36.691,2025-12-15T02:22:36,1,1.65
37.874,2025-12-15T02:22:37,0,40000.11
37.874,2025-12-15T02:22:37,1,1.65
39.057,2025-12-15T02:22:38,0,40000.11
39.057,2025-12-15T02:22:38,1,1.65
40.241,2025-12-15T02:22:40,0,40000.11
40.241,2025-12-15T02:22:40,1,1.65
41.450,2025-12-15T02:22:41,0,40000.11
41.450,2025-12-15T02:22:41,1,1.65
42.657,2025-12-15T02:22:42,0,40000.11
42.657,2025-12-15T02:22:42,1,1.65
43.865,2025-12-15T02:22:43,0,40000.11
43.865,2025-12-15T02:22:43,1,1.65
45.073,2025-12-15T02:22:44,0,40000.11
45.073,2025-12-15T02:22:44,1,1.65
46.281,2025-12-15T02:22:46,0,40000.11
46.281,2025-12-15T02:22:46,1,1.65
47.489,2025-12-15T02:22:47,0,40000.11
47.489,2025-12-15T02:22:47,1,1.65
48.675,2025-12-15T02:22:48,0,40000.11
48.675,2025-12-15T02:22:48,1,1.65
49.879,2025-12-15T02:22:49,0,40000.11
49.879,2025-12-15T02:22:49,1,1.65
51.083,2025-12-15T02:22:50,0,40000.11
51.083,2025-12-15T02:22:50,1,1.65
52.287,2025-12-15T02:22:52,0,40000.11
52.287,2025-12-15T02:22:52,1,1.65
53.491,2025-12-15T02:22:53,0,40000.11
53.491,2025-12-15T02:22:53,1,1.65
54.695,2025-12-15T02:22:54,0,40000.11
54.695,2025-12-15T02:22:54,1,1.65
55.897,2025-12-15T02:22:55,0,40000.11
55.897,2025-12-15T02:22:55,1,1.65
57.105,2025-12-15T02:22:56,0,40000.11
57.105,2025-12-15T02:22:56,1,1.65
58.313,2025-12-15T02:22:58,0,40000.11
58.313,2025-12-15T02:22:58,1,1.65
59.521,2025-12-15T02:22:59,0,40000.11
59.521,2025-12-15T02:22:59,1,1.65
