t_seconds,iso_time,node,used_mib
0.000,2025-12-15T01:17:19,0,315.76
0.000,2025-12-15T01:17:19,1,1149.12
0.503,2025-12-15T01:17:19,0,315.76
0.503,2025-12-15T01:17:19,1,1149.12
1.006,2025-12-15T01:17:20,0,315.51
1.006,2025-12-15T01:17:20,1,1148.87
1.509,2025-12-15T01:17:20,0,315.02
1.509,2025-12-15T01:17:20,1,1148.38
2.012,2025-12-15T01:17:21,0,314.52
2.012,2025-12-15T01:17:21,1,1147.88
2.515,2025-12-15T01:17:21,0,314.52
2.515,2025-12-15T01:17:21,1,1147.88
3.018,2025-12-15T01:17:22,0,314.52
3.018,2025-12-15T01:17:22,1,1147.88
3.521,2025-12-15T01:17:22,0,314.52
3.521,2025-12-15T01:17:22,1,1147.88
4.024,2025-12-15T01:17:23,0,314.52
4.024,2025-12-15T01:17:23,1,1147.88
4.527,2025-12-15T01:17:23,0,314.52
4.527,2025-12-15T01:17:23,1,1147.88
5.030,2025-12-15T01:17:24,0,314.52
5.030,2025-12-15T01:17:24,1,1147.88
5.532,2025-12-15T01:17:24,0,314.28
5.532,2025-12-15T01:17:24,1,1147.64
6.035,2025-12-15T01:17:25,0,314.03
6.035,2025-12-15T01:17:25,1,1147.39
6.538,2025-12-15T01:17:25,0,314.03
6.538,2025-12-15T01:17:25,1,1147.39
7.041,2025-12-15T01:17:26,0,314.03
7.041,2025-12-15T01:17:26,1,1147.39
7.544,2025-12-15T01:17:26,0,314.03
7.544,2025-12-15T01:17:26,1,1147.39
8.047,2025-12-15T01:17:27,0,314.03
8.047,2025-12-15T01:17:27,1,1147.64
8.549,2025-12-15T01:17:27,0,314.03
8.549,2025-12-15T01:17:27,1,1147.64
9.052,2025-12-15T01:17:28,0,313.79
9.052,2025-12-15T01:17:28,1,1147.39
9.555,2025-12-15T01:17:28,0,313.79
9.555,2025-12-15T01:17:28,1,1147.39
10.058,2025-12-15T01:17:29,0,313.79
10.058,2025-12-15T01:17:29,1,1147.39
10.561,2025-12-15T01:17:29,0,313.79
10.561,2025-12-15T01:17:29,1,1147.39
11.064,2025-12-15T01:17:30,0,313.54
11.064,2025-12-15T01:17:30,1,1147.14
11.567,2025-12-15T01:17:30,0,313.54
11.567,2025-12-15T01:17:30,1,1147.14
12.070,2025-12-15T01:17:31,0,313.54
12.070,2025-12-15T01:17:31,1,1147.14
12.573,2025-12-15T01:17:31,0,313.54
12.573,2025-12-15T01:17:31,1,1147.14
13.076,2025-12-15T01:17:32,0,313.29
13.076,2025-12-15T01:17:32,1,1146.9
13.578,2025-12-15T01:17:32,0,313.29
13.578,2025-12-15T01:17:32,1,1146.9
14.082,2025-12-15T01:17:33,0,313.05
14.082,2025-12-15T01:17:33,1,1146.65
14.585,2025-12-15T01:17:33,0,313.05
14.585,2025-12-15T01:17:33,1,1146.9
15.087,2025-12-15T01:17:34,0,313.05
15.087,2025-12-15T01:17:34,1,1146.9
15.590,2025-12-15T01:17:34,0,312.8
15.590,2025-12-15T01:17:34,1,1146.65
16.094,2025-12-15T01:17:35,0,312.8
16.094,2025-12-15T01:17:35,1,1147.14
16.596,2025-12-15T01:17:35,0,312.8
16.596,2025-12-15T01:17:35,1,1147.14
17.099,2025-12-15T01:17:36,0,312.55
17.099,2025-12-15T01:17:36,1,1146.89
17.602,2025-12-15T01:17:36,0,312.55
17.602,2025-12-15T01:17:36,1,1146.89
18.105,2025-12-15T01:17:37,0,312.3
18.105,2025-12-15T01:17:37,1,1146.64
18.609,2025-12-15T01:17:37,0,312.3
18.609,2025-12-15T01:17:37,1,1146.64
19.112,2025-12-15T01:17:38,0,312.3
19.112,2025-12-15T01:17:38,1,1146.88
19.615,2025-12-15T01:17:38,0,312.3
19.615,2025-12-15T01:17:38,1,1146.88
