t_seconds,iso_time,node,private_mb
0.000,2025-12-15T02:42:31,0,3668.67
0.000,2025-12-15T02:42:31,1,1.65
1.025,2025-12-15T02:42:32,0,5643.79
1.025,2025-12-15T02:42:32,1,1.65
2.061,2025-12-15T02:42:33,0,6000.11
2.061,2025-12-15T02:42:33,1,1.65
3.103,2025-12-15T02:42:34,0,6000.11
3.103,2025-12-15T02:42:34,1,1.65
4.144,2025-12-15T02:42:35,0,6000.11
4.144,2025-12-15T02:42:35,1,1.65
5.183,2025-12-15T02:42:36,0,6000.11
5.183,2025-12-15T02:42:36,1,1.65
6.224,2025-12-15T02:42:37,0,6000.11
6.224,2025-12-15T02:42:37,1,1.65
7.265,2025-12-15T02:42:38,0,6000.11
7.265,2025-12-15T02:42:38,1,1.65
8.307,2025-12-15T02:42:40,0,6000.11
8.307,2025-12-15T02:42:40,1,1.65
9.348,2025-12-15T02:42:41,0,6000.11
9.348,2025-12-15T02:42:41,1,1.65
10.389,2025-12-15T02:42:42,0,6000.11
10.389,2025-12-15T02:42:42,1,1.65
11.431,2025-12-15T02:42:43,0,6000.11
11.431,2025-12-15T02:42:43,1,1.65
12.469,2025-12-15T02:42:44,0,6000.11
12.469,2025-12-15T02:42:44,1,1.65
13.511,2025-12-15T02:42:45,0,6000.11
13.511,2025-12-15T02:42:45,1,1.65
14.552,2025-12-15T02:42:46,0,6000.11
14.552,2025-12-15T02:42:46,1,1.65
15.593,2025-12-15T02:42:47,0,6000.11
15.593,2025-12-15T02:42:47,1,1.65
16.631,2025-12-15T02:42:48,0,6000.11
16.631,2025-12-15T02:42:48,1,1.65
17.672,2025-12-15T02:42:49,0,6000.11
17.672,2025-12-15T02:42:49,1,1.65
18.713,2025-12-15T02:42:50,0,6000.11
18.713,2025-12-15T02:42:50,1,1.65
19.755,2025-12-15T02:42:51,0,6000.11
19.755,2025-12-15T02:42:51,1,1.65
20.796,2025-12-15T02:42:52,0,6000.11
20.796,2025-12-15T02:42:52,1,1.65
21.837,2025-12-15T02:42:53,0,6000.11
21.837,2025-12-15T02:42:53,1,1.65
22.879,2025-12-15T02:42:54,0,6000.11
22.879,2025-12-15T02:42:54,1,1.65
23.920,2025-12-15T02:42:55,0,6000.11
23.920,2025-12-15T02:42:55,1,1.65
24.961,2025-12-15T02:42:56,0,6000.11
24.961,2025-12-15T02:42:56,1,1.65
26.003,2025-12-15T02:42:57,0,6000.11
26.003,2025-12-15T02:42:57,1,1.65
27.044,2025-12-15T02:42:58,0,6000.11
27.044,2025-12-15T02:42:58,1,1.65
28.085,2025-12-15T02:42:59,0,6000.11
28.085,2025-12-15T02:42:59,1,1.65
29.126,2025-12-15T02:43:00,0,6000.11
29.126,2025-12-15T02:43:00,1,1.65
30.168,2025-12-15T02:43:01,0,6000.11
30.168,2025-12-15T02:43:01,1,1.65
31.209,2025-12-15T02:43:02,0,6000.11
31.209,2025-12-15T02:43:02,1,1.65
32.250,2025-12-15T02:43:03,0,6000.11
32.250,2025-12-15T02:43:03,1,1.65
33.292,2025-12-15T02:43:05,0,6000.11
33.292,2025-12-15T02:43:05,1,1.65
34.332,2025-12-15T02:43:06,0,6000.11
34.332,2025-12-15T02:43:06,1,1.65
35.373,2025-12-15T02:43:07,0,6000.11
35.373,2025-12-15T02:43:07,1,1.65
36.415,2025-12-15T02:43:08,0,6000.11
36.415,2025-12-15T02:43:08,1,1.65
37.456,2025-12-15T02:43:09,0,6000.11
37.456,2025-12-15T02:43:09,1,1.65
38.497,2025-12-15T02:43:10,0,6000.11
38.497,2025-12-15T02:43:10,1,1.65
39.539,2025-12-15T02:43:11,0,6000.11
39.539,2025-12-15T02:43:11,1,1.65
40.580,2025-12-15T02:43:12,0,6000.11
40.580,2025-12-15T02:43:12,1,1.65
41.621,2025-12-15T02:43:13,0,6000.11
41.621,2025-12-15T02:43:13,1,1.65
42.663,2025-12-15T02:43:14,0,6000.11
42.663,2025-12-15T02:43:14,1,1.65
43.704,2025-12-15T02:43:15,0,6000.11
43.704,2025-12-15T02:43:15,1,1.65
44.745,2025-12-15T02:43:16,0,6000.11
44.745,2025-12-15T02:43:16,1,1.65
45.782,2025-12-15T02:43:17,0,6000.11
45.782,2025-12-15T02:43:17,1,1.65
46.823,2025-12-15T02:43:18,0,6000.11
46.823,2025-12-15T02:43:18,1,1.65
47.864,2025-12-15T02:43:19,0,6000.11
47.864,2025-12-15T02:43:19,1,1.65
48.905,2025-12-15T02:43:20,0,6000.11
48.905,2025-12-15T02:43:20,1,1.65
49.947,2025-12-15T02:43:21,0,6000.11
49.947,2025-12-15T02:43:21,1,1.65
50.988,2025-12-15T02:43:22,0,6000.11
50.988,2025-12-15T02:43:22,1,1.65
52.029,2025-12-15T02:43:23,0,6000.11
52.029,2025-12-15T02:43:23,1,1.65
53.070,2025-12-15T02:43:24,0,6000.11
53.070,2025-12-15T02:43:24,1,1.65
54.112,2025-12-15T02:43:25,0,6000.11
54.112,2025-12-15T02:43:25,1,1.65
55.153,2025-12-15T02:43:26,0,6000.11
55.153,2025-12-15T02:43:26,1,1.65
56.194,2025-12-15T02:43:27,0,6000.11
56.194,2025-12-15T02:43:27,1,1.65
57.236,2025-12-15T02:43:28,0,6000.11
57.236,2025-12-15T02:43:28,1,1.65
58.277,2025-12-15T02:43:30,0,6000.11
58.277,2025-12-15T02:43:30,1,1.65
59.319,2025-12-15T02:43:31,0,6000.11
59.319,2025-12-15T02:43:31,1,1.65
