t_seconds,iso_time,node,private_mb
0.007,2025-12-15T02:56:44,0,6186.49
0.007,2025-12-15T02:56:44,1,1.75
1.047,2025-12-15T02:56:45,0,8000.03
1.047,2025-12-15T02:56:45,1,1.74
2.096,2025-12-15T02:56:46,0,8000.03
2.096,2025-12-15T02:56:46,1,1.74
3.147,2025-12-15T02:56:47,0,8000.03
3.147,2025-12-15T02:56:47,1,1.74
4.200,2025-12-15T02:56:48,0,8000.03
4.200,2025-12-15T02:56:48,1,1.74
5.248,2025-12-15T02:56:49,0,8000.03
5.248,2025-12-15T02:56:49,1,1.74
6.296,2025-12-15T02:56:50,0,8000.03
6.296,2025-12-15T02:56:50,1,1.74
7.344,2025-12-15T02:56:51,0,8000.03
7.344,2025-12-15T02:56:51,1,1.74
8.390,2025-12-15T02:56:52,0,8000.03
8.390,2025-12-15T02:56:52,1,1.74
9.440,2025-12-15T02:56:53,0,8000.03
9.440,2025-12-15T02:56:53,1,1.74
10.486,2025-12-15T02:56:54,0,8000.03
10.486,2025-12-15T02:56:54,1,1.74
11.540,2025-12-15T02:56:55,0,8000.03
11.540,2025-12-15T02:56:55,1,1.74
12.592,2025-12-15T02:56:56,0,8000.03
12.592,2025-12-15T02:56:56,1,1.74
13.645,2025-12-15T02:56:57,0,8000.03
13.645,2025-12-15T02:56:57,1,1.74
14.697,2025-12-15T02:56:58,0,8000.03
14.697,2025-12-15T02:56:58,1,1.74
15.749,2025-12-15T02:56:59,0,8000.03
15.749,2025-12-15T02:56:59,1,1.74
16.801,2025-12-15T02:57:00,0,8000.03
16.801,2025-12-15T02:57:00,1,1.74
17.853,2025-12-15T02:57:01,0,8000.03
17.853,2025-12-15T02:57:01,1,1.74
18.905,2025-12-15T02:57:03,0,8000.03
18.905,2025-12-15T02:57:03,1,1.74
19.957,2025-12-15T02:57:04,0,8000.03
19.957,2025-12-15T02:57:04,1,1.74
21.006,2025-12-15T02:57:05,0,8000.03
21.006,2025-12-15T02:57:05,1,1.74
22.060,2025-12-15T02:57:06,0,8000.03
22.060,2025-12-15T02:57:06,1,1.74
23.112,2025-12-15T02:57:07,0,8000.03
23.112,2025-12-15T02:57:07,1,1.74
24.165,2025-12-15T02:57:08,0,8000.03
24.165,2025-12-15T02:57:08,1,1.74
25.217,2025-12-15T02:57:09,0,8000.03
25.217,2025-12-15T02:57:09,1,1.74
26.269,2025-12-15T02:57:10,0,8000.03
26.269,2025-12-15T02:57:10,1,1.74
27.321,2025-12-15T02:57:11,0,8000.03
27.321,2025-12-15T02:57:11,1,1.74
28.369,2025-12-15T02:57:12,0,8000.03
28.369,2025-12-15T02:57:12,1,1.74
29.416,2025-12-15T02:57:13,0,8000.03
29.416,2025-12-15T02:57:13,1,1.74
30.463,2025-12-15T02:57:14,0,8000.03
30.463,2025-12-15T02:57:14,1,1.74
31.516,2025-12-15T02:57:15,0,8000.03
31.516,2025-12-15T02:57:15,1,1.74
32.568,2025-12-15T02:57:16,0,8000.03
32.568,2025-12-15T02:57:16,1,1.74
33.621,2025-12-15T02:57:17,0,8000.03
33.621,2025-12-15T02:57:17,1,1.74
34.673,2025-12-15T02:57:18,0,8000.03
34.673,2025-12-15T02:57:18,1,1.74
35.725,2025-12-15T02:57:19,0,8000.03
35.725,2025-12-15T02:57:19,1,1.74
36.777,2025-12-15T02:57:20,0,8000.03
36.777,2025-12-15T02:57:20,1,1.74
37.829,2025-12-15T02:57:21,0,8000.03
37.829,2025-12-15T02:57:21,1,1.74
38.881,2025-12-15T02:57:22,0,8000.03
38.881,2025-12-15T02:57:22,1,1.74
39.933,2025-12-15T02:57:24,0,8000.03
39.933,2025-12-15T02:57:24,1,1.74
40.985,2025-12-15T02:57:25,0,8000.03
40.985,2025-12-15T02:57:25,1,1.74
42.037,2025-12-15T02:57:26,0,8000.03
42.037,2025-12-15T02:57:26,1,1.74
43.090,2025-12-15T02:57:27,0,8000.03
43.090,2025-12-15T02:57:27,1,1.74
44.142,2025-12-15T02:57:28,0,8000.03
44.142,2025-12-15T02:57:28,1,1.74
45.194,2025-12-15T02:57:29,0,8000.03
45.194,2025-12-15T02:57:29,1,1.74
46.246,2025-12-15T02:57:30,0,8000.03
46.246,2025-12-15T02:57:30,1,1.74
47.297,2025-12-15T02:57:31,0,8000.03
47.297,2025-12-15T02:57:31,1,1.74
48.344,2025-12-15T02:57:32,0,8000.03
48.344,2025-12-15T02:57:32,1,1.74
49.396,2025-12-15T02:57:33,0,8000.03
49.396,2025-12-15T02:57:33,1,1.74
50.448,2025-12-15T02:57:34,0,8000.03
50.448,2025-12-15T02:57:34,1,1.74
51.501,2025-12-15T02:57:35,0,8000.03
51.501,2025-12-15T02:57:35,1,1.74
52.547,2025-12-15T02:57:36,0,8000.03
52.547,2025-12-15T02:57:36,1,1.74
53.600,2025-12-15T02:57:37,0,8000.03
53.600,2025-12-15T02:57:37,1,1.74
54.652,2025-12-15T02:57:38,0,8000.03
54.652,2025-12-15T02:57:38,1,1.74
55.704,2025-12-15T02:57:39,0,8000.03
55.704,2025-12-15T02:57:39,1,1.74
56.756,2025-12-15T02:57:40,0,8000.03
56.756,2025-12-15T02:57:40,1,1.74
57.808,2025-12-15T02:57:41,0,8000.03
57.808,2025-12-15T02:57:41,1,1.74
58.860,2025-12-15T02:57:42,0,8000.03
58.860,2025-12-15T02:57:42,1,1.74
59.912,2025-12-15T02:57:44,0,8000.03
59.912,2025-12-15T02:57:44,1,1.74
